id,plan_id/id,code,name,sped_account_type,sped_parent_code,sped_nature,sped_date_start,sped_date_end
ref_1_1,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1,ATIVO,S,,1,2015-01-01,
ref_1_1_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01,ATIVO CIRCULANTE,S,1,1,2015-01-01,
ref_1_1_01_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01,DISPONIBILIDADES,S,1.01,1,2015-01-01,
ref_1_1_01_01_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.01,CAIXA GERAL,S,1.01.01,1,2015-01-01,
ref_1_1_01_01_01_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.01.01,Caixa Matriz,A,1.01.01.01,1,2015-01-01,
ref_1_1_01_01_01_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.01.02,Caixa Filiais,A,1.01.01.01,1,2015-01-01,
ref_1_1_01_01_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.02,DEPÓSITOS BANCÁRIOS À VISTA,S,1.01.01,1,2015-01-01,
ref_1_1_01_01_02_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.02.01,Bancos Conta Movimento - No País,A,1.01.01.02,1,2015-01-01,
ref_1_1_01_01_02_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.02.02,Bancos Conta Movimento - No Exterior,A,1.01.01.02,1,2015-01-01,
ref_1_1_01_01_04,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.04,NUMERÁRIOS EM TRÂNSITO,S,1.01.01,1,2015-01-01,
ref_1_1_01_01_04_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.04.01,Numerários em Trânsito,A,1.01.01.04,1,2015-01-01,
ref_1_1_01_01_05,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.05,TÍTULOS E VALORES MOBILIÁRIOS - NÃO HEDGE - NO PAÍS,S,1.01.01,1,2015-01-01,
ref_1_1_01_01_05_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.05.01,Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País,A,1.01.01.05,1,2015-01-01,
ref_1_1_01_01_05_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.05.02,Títulos Disponíveis para Venda - No País,A,1.01.01.05,1,2015-01-01,
ref_1_1_01_01_05_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.05.03,Títulos Mantidos até o Vencimento - No País,A,1.01.01.05,1,2015-01-01,
ref_1_1_01_01_05_10,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.01.01.05.10,Debêntures emitidas por Partes Relacionadas - No País,A,1.01.01.05,1,2015-01-01,
