id,codigo,nome,dt_inicio,dt_fim
agente_caus_302010200,302010200,Rua e estrada - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010250,302010250,Calçada ou caminho para pedestre - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010300,302010300,Piso de edifício - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010350,302010350,"Escada permanente cujos degraus permitem apoio integral do pé, degrau - superfície utilizada para sustentar pessoas",2014-01-01,
agente_caus_302010400,302010400,Rampa - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010450,302010450,Passarela ou plataforma permanentes - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010500,302010500,Piso de mina - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010550,302010550,Chão - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010600,302010600,Piso de andaime e plataforma desmontável - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010650,302010650,Piso de veiculo - superfície utilizada para sustentar pessoas,2014-01-01,
agente_caus_302010700,302010700,Telhado,2014-01-01,
agente_caus_302010900,302010900,"Superfície de sustentação, NIC - superfície utilizada para sustentar pessoas",2014-01-01,
agente_caus_302030900,302030900,"Escada móvel ou fixada, NIC",2014-01-01,
agente_caus_302050100,302050100,Edifício - edifício ou estrutura,2014-01-01,
agente_caus_302050200,302050200,"Depósito fixo (tanque, silo, paiol, etc.) - edifício ou estrutura",2014-01-01,
agente_caus_302050300,302050300,"Cais, doca - edifício ou estrutura",2014-01-01,
agente_caus_302050400,302050400,"Dique, barragem - edifício ou estrutura",2014-01-01,
agente_caus_302050500,302050500,"Ponte, viaduto - edifício ou estrutura",2014-01-01,
agente_caus_302050600,302050600,"Arquibancada, estádio - edifício ou estrutura",2014-01-01,
agente_caus_302050700,302050700,"Andaime, plataforma - edifício ou estrutura",2014-01-01,
agente_caus_302050800,302050800,"Torre, poste - edifício ou estrutura",2014-01-01,
agente_caus_302050900,302050900,"Edifício ou estrutura (exceto piso, superfície de sustentação ou área de circulação), NIC",2014-01-01,
agente_caus_302070100,302070100,"Escavação (para edifício, estrada, etc.)",2014-01-01,
agente_caus_302070300,302070300,"Canal, fosso",2014-01-01,
agente_caus_302070500,302070500,"Poço, entrada, galeria, etc. de mina",2014-01-01,
agente_caus_302070700,302070700,Túnel,2014-01-01,
agente_caus_302070900,302070900,"Escavação, fosso, túnel, NIC",2014-01-01,
agente_caus_302090000,302090000,"Superfície e estrutura, NIC",2014-01-01,
agente_caus_303010040,303010040,"Martelo, malho, marreta - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010080,303010080,"Machadinha, enxó - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010120,303010120,"Faca, facão - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010160,303010160,"Tesoura, tesourão - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010200,303010200,"Formão, cinzel - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010240,303010240,"Serra, serrote - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010280,303010280,"Alicate, torques, tenaz - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010320,303010320,Plaina - ferramenta manual sem força motriz,2014-01-01,
agente_caus_303010360,303010360,"Lima, grosa - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010400,303010400,"Punção, ponteiro, vazador, talhadeira - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010440,303010440,"Pua, trado, verruma, máquina de furar manual - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010480,303010480,Chave de parafuso - ferramenta manual sem força motriz,2014-01-01,
agente_caus_303010520,303010520,"Chave de porca ou de abertura regulável, chave de boca - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010560,303010560,"Alavanca, pé-de-cabra - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010600,303010600,"Corda, cabo, corrente - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010640,303010640,Machado - ferramenta manual sem força motriz,2014-01-01,
agente_caus_303010680,303010680,"Enxada, enxadão, sacho - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010720,303010720,"Pá, cavadeira - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010760,303010760,Picareta - ferramenta manual sem força motriz,2014-01-01,
agente_caus_303010800,303010800,"Garfo, ancinho, forcado - ferramenta manual sem força motriz",2014-01-01,
agente_caus_303010900,303010900,"Ferramenta manual sem força motriz, NIC",2014-01-01,
agente_caus_303015050,303015050,"Martelete, socador - ferramenta portátil com força motriz ou aquecimento",2014-01-01,
agente_caus_303015100,303015100,Talhadeira - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015150,303015150,"Cortadeira, guilhotina - ferramenta portátil com força motriz ou aquecimento",2014-01-01,
agente_caus_303015200,303015200,Serra - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015250,303015250,"Punção, ponteiro, vazador - ferramenta portátil com força motriz ou aquecimento",2014-01-01,
agente_caus_303015300,303015300,Perfuratriz - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015350,303015350,Rebitadeira - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015400,303015400,Máquina de aparafusar - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015450,303015450,Esmeril - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015500,303015500,"Politriz, enceradeira - ferramenta portátil com força motriz ou aquecimento",2014-01-01,
agente_caus_303015550,303015550,Ferro de passar - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015600,303015600,Ferramenta de soldagem - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015650,303015650,Maçarico - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
agente_caus_303015700,303015700,Ferramenta acionada por explosivo - ferramenta portátil com força motriz ou aquecimento,2014-01-01,
