id,codigo,nome,dt_inicio,dt_fim,tipo
agente_noc_01_01_001,01.01.001,Arsênio e seus compostos,2014-01-01,,QUÍMICOS
agente_noc_01_02_001,01.02.001,Asbestos (ou amianto),2014-01-01,,QUÍMICOS
agente_noc_01_03_001,01.03.001,"Benzeno e seus compostos tóxicos (exceto os abaixo especificados, que constam expressamente no Anexo IV do Decreto 3.048/1999)",2014-01-01,,QUÍMICOS
agente_noc_01_03_002,01.03.002,Estireno (vinilbenzeno),2014-01-01,,QUÍMICOS
agente_noc_01_04_001,01.04.001,Berílio e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_05_001,01.05.001,Bromo e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_06_001,01.06.001,Cádmio e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_07_001,01.07.001,Carvão mineral e seus derivados,2014-01-01,,QUÍMICOS
agente_noc_01_08_001,01.08.001,Chumbo e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_09_001,01.09.001,"Cloro e seus compostos tóxicos (exceto os abaixo especificados, que constam expressamente no Anexo IV do Decreto 3.048/1999)",2014-01-01,,QUÍMICOS
agente_noc_01_09_002,01.09.002,"Metileno-ortocloroanilina, MOCA® (4,4'-metileno-bis-(2-cloroanilina), MBOCA®)",2014-01-01,,QUÍMICOS
agente_noc_01_09_003,01.09.003,"Bis (cloro metil) éter, clorometileter, (éter bis (clorometílico) ou éter metílico de clorometila), bisclorometil",2014-01-01,,QUÍMICOS
agente_noc_01_09_004,01.09.004,Biscloroetileter (éter dicloroetílico),2014-01-01,,QUÍMICOS
agente_noc_01_09_005,01.09.005,Clorambucil (cloroambucil),2014-01-01,,QUÍMICOS
agente_noc_01_09_006,01.09.006,Cloropreno,2014-01-01,,QUÍMICOS
agente_noc_01_10_001,01.10.001,Cromo e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_11_001,01.11.001,Dissulfeto de carbono,2014-01-01,,QUÍMICOS
agente_noc_01_12_001,01.12.001,Fósforo e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_13_001,01.13.001,Iodo,2014-01-01,,QUÍMICOS
agente_noc_01_14_001,01.14.001,Manganês e seus compostos,2014-01-01,,QUÍMICOS
agente_noc_01_15_001,01.15.001,Mercúrio e seus compostos,2014-01-01,,QUÍMICOS
agente_noc_01_16_001,01.16.001,Níquel e seus compostos tóxicos,2014-01-01,,QUÍMICOS
agente_noc_01_17_001,01.17.001,"Petróleo, xisto betuminoso, gás natural e seus derivados",2014-01-01,,QUÍMICOS
agente_noc_01_18_001,01.18.001,Sílica livre,2014-01-01,,QUÍMICOS
agente_noc_01_19_001,01.19.001,Butadieno-estireno,2014-01-01,,QUÍMICOS
agente_noc_01_19_002,01.19.002,Acrilonitrila,2014-01-01,,QUÍMICOS
agente_noc_01_19_003,01.19.003,1-3-butadieno,2014-01-01,,QUÍMICOS
agente_noc_01_19_004,01.19.004,Mercaptanos (tióis),2014-01-01,,QUÍMICOS
agente_noc_01_19_005,01.19.005,n-hexano,2014-01-01,,QUÍMICOS
agente_noc_01_19_006,01.19.006,Diisocianato de tolueno (TDI),2014-01-01,,QUÍMICOS
agente_noc_01_19_007,01.19.007,Aminas aromáticas,2014-01-01,,QUÍMICOS
agente_noc_01_19_008,01.19.008,Aminobifenila (4-aminodifenil),2014-01-01,,QUÍMICOS
agente_noc_01_19_009,01.19.009,Auramina,2014-01-01,,QUÍMICOS
agente_noc_01_19_010,01.19.010,Azatioprina,2014-01-01,,QUÍMICOS
agente_noc_01_19_011,01.19.011,1-4-butanodiol,2014-01-01,,QUÍMICOS
agente_noc_01_19_012,01.19.012,Dimetanosulfonato (MIRELAN),2014-01-01,,QUÍMICOS
