id,codigo,nome,dt_inicio,dt_fim,tempo_contribuicao,aliquota
aposent_esp_01_00_01,01.00.01,ARSÊNIO E SEUS COMPOSTOS,2014-01-01,,25,6
aposent_esp_01_00_02,01.00.02,ARBESTOS,2014-01-01,,20,9
aposent_esp_01_00_03,01.00.03,BENZENO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_04,01.00.04,BERÍLIO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_05,01.00.05,BROMO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_06,01.00.06,CÁDMIO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_07,01.00.07,CARVÃO MINERAL E SEUS DERIVADOS,2014-01-01,,25,6
aposent_esp_01_00_08,01.00.08,CHUMBO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_09,01.00.09,CLORO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_10,01.00.10,CROMO E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_11,01.00.11,DISSULFETO DE CARBONO,2014-01-01,,25,6
aposent_esp_01_00_12,01.00.12,FÓSFORO E SEUS COMPOSTOS,2014-01-01,,25,6
aposent_esp_01_00_13,01.00.13,IODO,2014-01-01,,25,6
aposent_esp_01_00_14,01.00.14,MANGANÊS E SEUS COMPOSTOS,2014-01-01,,25,6
aposent_esp_01_00_15,01.00.15,MERCÚRIO E SEUS COMPOSTOS,2014-01-01,,25,6
aposent_esp_01_00_16,01.00.16,NÍQUEL E SEUS COMPOSTOS TÓXICOS,2014-01-01,,25,6
aposent_esp_01_00_17,01.00.17,"PETRÓLEO, XISTO BETUMINOSO, GÁS NATURAL E SEUS DERIVADOS",2014-01-01,,25,6
aposent_esp_01_00_18,01.00.18,SÍLICA LIVRE,2014-01-01,,25,6
aposent_esp_01_01_19,01.01.19,ESTIRENO,2014-01-01,,25,6
aposent_esp_01_01_20,01.01.20,BUTADIENO-ESTIRENO,2014-01-01,,25,6
aposent_esp_01_01_21,01.01.21,ACRILONITRILA,2014-01-01,,25,6
aposent_esp_01_01_22,01.01.22,1-3 BUTADIENO,2014-01-01,,25,6
aposent_esp_01_01_23,01.01.23,CLOROPRENO,2014-01-01,,25,6
aposent_esp_01_01_24,01.01.24,MERCAPTANOS,2014-01-01,,25,6
aposent_esp_01_01_25,01.01.25,n-HEXANO,2014-01-01,,25,6
aposent_esp_01_01_26,01.01.26,DIISOCIANATO DE TOLUENO (TDI),2014-01-01,,25,6
aposent_esp_01_01_27,01.01.27,AMINAS AROMÁTICAS,2014-01-01,,25,6
aposent_esp_01_02_28,01.02.28,AMINAS AROMÁTICAS,2014-01-01,,25,6
aposent_esp_01_02_29,01.02.29,AMINOBIFENILA,2014-01-01,,25,6
aposent_esp_01_02_30,01.02.30,AURAMINA,2014-01-01,,25,6
aposent_esp_01_02_31,01.02.31,AZATIOPRINA,2014-01-01,,25,6
aposent_esp_01_02_32,01.02.32,BIS (CLORO METIL) ÉTER,2014-01-01,,25,6
aposent_esp_01_02_33,01.02.33,1-4 BUTANODIOL,2014-01-01,,25,6
aposent_esp_01_02_34,01.02.34,DIMETANOSULFONATO (MILERAN),2014-01-01,,25,6
aposent_esp_01_02_35,01.02.35,CICLOFOSFAMIDA,2014-01-01,,25,6
aposent_esp_01_02_36,01.02.36,CLOROAMBUCIL,2014-01-01,,25,6
aposent_esp_01_02_37,01.02.37,DIETILESTIL-BESTROL,2014-01-01,,25,6
aposent_esp_01_02_38,01.02.38,ACRONITRILA,2014-01-01,,25,6
aposent_esp_01_02_39,01.02.39,NITRONAFTILAMINA 4-DIMETILAMINOAZOBENZENO,2014-01-01,,25,6
aposent_esp_01_02_40,01.02.40,BENZOPIRENO,2014-01-01,,25,6
aposent_esp_01_02_41,01.02.41,BETA-PROPIOLACTONA,2014-01-01,,25,6
aposent_esp_01_02_42,01.02.42,BISCLOROETILETER,2014-01-01,,25,6
aposent_esp_01_02_43,01.02.43,BISCLOROMETIL,2014-01-01,,25,6
aposent_esp_01_02_44,01.02.44,CLOROMETILETER,2014-01-01,,25,6
aposent_esp_01_02_45,01.02.45,DIANIZIDINA,2014-01-01,,25,6
aposent_esp_01_02_46,01.02.46,DICLOROBENZIDINA,2014-01-01,,25,6
aposent_esp_01_02_47,01.02.47,DIETILSULFATO,2014-01-01,,25,6
aposent_esp_01_02_48,01.02.48,DIMETILSULFATO,2014-01-01,,25,6
aposent_esp_01_02_49,01.02.49,ETILENOAMINA,2014-01-01,,25,6
aposent_esp_01_02_50,01.02.50,ETILENOTIUREIA,2014-01-01,,25,6
aposent_esp_01_02_51,01.02.51,FENACETINA,2014-01-01,,25,6
aposent_esp_01_02_52,01.02.52,IODETO DE METILA,2014-01-01,,25,6
aposent_esp_01_02_53,01.02.53,ETILNITROSURÉIAS,2014-01-01,,25,6
aposent_esp_01_02_54,01.02.54,METILENO-ORTOCLOROANILINA (MOCA),2014-01-01,,25,6
aposent_esp_01_02_55,01.02.55,NITROSAMINA,2014-01-01,,25,6
aposent_esp_01_02_56,01.02.56,ORTOTOLUIDINA,2014-01-01,,25,6
aposent_esp_01_02_57,01.02.57,OXIME-TALONA,2014-01-01,,25,6
aposent_esp_01_02_58,01.02.58,PROCARBAZINA,2014-01-01,,25,6
aposent_esp_01_02_59,01.02.59,PROPANOSULTONA,2014-01-01,,25,6
aposent_esp_01_02_60,01.02.60,1-3-BUTADIENO,2014-01-01,,25,6
aposent_esp_01_02_61,01.02.61,ÓXIDO DE ETILENO,2014-01-01,,25,6
aposent_esp_01_02_62,01.02.62,ESTILBENZENO,2014-01-01,,25,6
aposent_esp_01_02_63,01.02.63,DIISOCIANATO DE TOLUENO (TDI),2014-01-01,,25,6
aposent_esp_01_02_64,01.02.64,CREOSOTO,2014-01-01,,25,6
aposent_esp_01_02_65,01.02.65,4-AMINODIFENIL,2014-01-01,,25,6
aposent_esp_01_02_66,01.02.66,BENZIDINA,2014-01-01,,25,6
aposent_esp_01_02_67,01.02.67,BETANAFTILAMINA,2014-01-01,,25,6
aposent_esp_01_02_68,01.02.68,ESTIRENO,2014-01-01,,25,6
aposent_esp_01_02_69,01.02.69,1-CLORO-2,2014-01-01,,25,6
aposent_esp_01_02_70,01.02.70,4 - NITRODIFENIL,2014-01-01,,25,6
aposent_esp_01_02_71,01.02.71,3-POXIPRO-PANO,2014-01-01,,25,6
aposent_esp_02_00_00,02.00.00,FATORES DE RISCO FÍSICOS,2014-01-01,,25,6
aposent_esp_02_00_01,02.00.01,RUÍDO CONTINUO OU INTERMITENTE,2014-01-01,,25,6
aposent_esp_02_00_02,02.00.02,RUÍDO IMPACTO,2014-01-01,,25,6
aposent_esp_02_00_03,02.00.03,VIBRAÇÕES LOCALIZADA,2014-01-01,,25,6
aposent_esp_02_00_04,02.00.04,VIBRAÇÕES CORPO INTEIRO,2014-01-01,,25,6
aposent_esp_02_00_05,02.00.05,RADIAÇÕES IONIZANTES,2014-01-01,,25,6
aposent_esp_02_00_07,02.00.07,TEMPERATURAS ANORMAIS - FRIO,2014-01-01,,25,6
aposent_esp_02_00_08,02.00.08,TEMPERATURAS ANORMAIS - CALOR,2014-01-01,,25,6
aposent_esp_02_00_09,02.00.09,PRESSÃO ATMOSFÉRICA ANORMAL - HIPERBARISMO,2014-01-01,,25,6
aposent_esp_02_00_10,02.00.10,PRESSÃO ATMOSFÉRICA ANORMAL - HIPOBARISMO,2014-01-01,,25,6
aposent_esp_03_00_00,03.00.00,FATORES DE RISCO BIOLÓGICO - MICROORGANISMOS E PARASITAS INFECTOCONTAGIOSOS VIVOS E SUAS TOXINAS,2014-01-01,,25,6
aposent_esp_03_00_01,03.00.01,Trabalhos em estabelecimentos de saúde em contato com pacientes portadores de doenças infecto-contagiosas ou com manuseio de materiais contaminados;,2014-01-01,,25,6
aposent_esp_03_00_02,03.00.02,"Trabalhos com animais infectados para tratamento ou para o preparo de soro, vacinas e outros produtos;",2014-01-01,,25,6
aposent_esp_03_00_03,03.00.03,"Trabalhos em laboratórios de autópsia, de anatomia e anátomo-histologia;",2014-01-01,,25,6
aposent_esp_03_00_04,03.00.04,Trabalho de exumação de corpos e manipulação de resíduos de animais deteriorados;,2014-01-01,,25,6
aposent_esp_03_00_05,03.00.05,"Trabalhos em galerias, fossas e tanques de esgoto;",2014-01-01,,25,6
aposent_esp_03_00_06,03.00.06,Esvaziamento de biodigestores;,2014-01-01,,25,6
aposent_esp_03_00_07,03.00.07,Coleta e industrialização do lixo.,2014-01-01,,25,6
aposent_esp_04_00_00,04.00.00,ASSOCIAÇÃO DE FATORES DE RISCO,2014-01-01,,25,6
aposent_esp_04_00_01,04.00.01,Mineração subterrânea cujas atividades sejam exercidas afastadas das frentes de produção.,2014-01-01,,20,9
aposent_esp_04_00_03,04.00.03,Trabalhos em atividades permanentes no subsolo de minerações subterrâneas em frente de produção.,2014-01-01,,15,12
