id,codigo,nome,dt_inicio,dt_fim
base_fgts_11,11,FGTS mensal,2014-01-01,
base_fgts_12,12,FGTS 13° salário,2014-01-01,
base_fgts_13,13,FGTS (período anterior) mensal,2014-01-01,
base_fgts_14,14,FGTS (período anterior) 13º salário,2014-01-01,
base_fgts_15,15,FGTS mensal - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_16,16,FGTS 13° salário - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_17,17,FGTS (período anterior) mensal - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_18,18,FGTS (período anterior) 13º salário - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_21,21,FGTS mês da rescisão,2014-01-01,
base_fgts_22,22,FGTS 13° salário rescisório,2014-01-01,
base_fgts_23,23,FGTS aviso prévio indenizado,2014-01-01,
base_fgts_24,24,FGTS (período anterior) mês da rescisão,2014-01-01,
base_fgts_25,25,FGTS (período anterior) 13º salário rescisório,2014-01-01,
base_fgts_26,26,FGTS (período anterior) aviso prévio indenizado,2014-01-01,
base_fgts_27,27,FGTS mês da rescisão - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_28,28,FGTS 13° salário rescisório - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_29,29,FGTS aviso prévio indenizado - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_30,30,FGTS (período anterior) mês da rescisão - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_31,31,FGTS (período anterior) 13° salário rescisório - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_32,32,FGTS (período anterior) aviso prévio indenizado - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
base_fgts_41,41,FGTS mensal - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_42,42,FGTS 13° salário - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_43,43,FGTS (período anterior) mensal - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_44,44,FGTS (período anterior) 13º salário - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_45,45,FGTS mês da rescisão - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_46,46,FGTS 13° salário rescisório - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_47,47,FGTS aviso prévio indenizado - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_48,48,FGTS (período anterior) mês da rescisão - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_49,49,FGTS (período anterior) 13º salário rescisório - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_50,50,FGTS (período anterior) aviso prévio indenizado - Indenização compensatória do empregado doméstico,2014-01-01,
base_fgts_91,91,Incidência suspensa em decorrência de decisão judicial,2014-01-01,
