id,codigo,nome,dt_inicio,dt_fim,cod_grupo,cod_cbo,tp_trab
cargo_esocial_001,eSocial-001,Empregado doméstico nos serviços gerais,2014-01-01,,512,512105,1
cargo_esocial_002,eSocial-002,Empregado doméstico arrumador,2014-01-01,,512,512110,1
cargo_esocial_003,eSocial-003,Empregado doméstico faxineiro,2014-01-01,,512,512115,1
cargo_esocial_004,eSocial-004,Babá,2014-01-01,,516,516205,1
cargo_esocial_005,eSocial-005,Passador de roupas,2014-01-01,,516,516415,1
cargo_esocial_006,eSocial-006,"Lavadeiro, em geral",2014-01-01,,516,516305,1
cargo_esocial_007,eSocial-007,Caseiro,2014-01-01,,512,512105,1
cargo_esocial_008,eSocial-008,Governanta de residência,2014-01-01,,513,513105,1
cargo_esocial_009,eSocial-009,Mordomo de residência,2014-01-01,,513,513105,1
cargo_esocial_010,eSocial-010,Cozinheiro do serviço doméstico,2014-01-01,,513,513210,1
cargo_esocial_011,eSocial-011,Cuidador de pessoas idosas e dependentes,2014-01-01,,516,516210,1
cargo_esocial_012,eSocial-012,Motorista no serviço doméstico,2014-01-01,,782,782305,1
cargo_esocial_013,eSocial-013,Motorista particular,2014-01-01,,782,782305,1
cargo_esocial_014,eSocial-014,Preparador físico,2014-01-01,,224,224120,1
cargo_esocial_015,eSocial-015,Chefe de cozinha,2014-01-01,,371,271105,1
cargo_esocial_016,eSocial-016,Subchefe de cozinha,2014-01-01,,271,271105,1
cargo_esocial_017,eSocial-017,Supervisor de cozinha,2014-01-01,,271,271105,1
cargo_esocial_018,eSocial-018,Dama de companhia,2014-01-01,,516,516210,1
cargo_esocial_019,eSocial-019,Garçom,2014-01-01,,513,513405,1
cargo_esocial_020,eSocial-020,Jardineiro,2014-01-01,,622,622010,1
cargo_esocial_021,eSocial-021,Porteiro,2014-01-01,,517,517410,1
cargo_esocial_022,eSocial-022,Vigia,2014-01-01,,517,517420,1
cargo_esocial_023,eSocial-023,"Secretário, em geral",2014-01-01,,351,351505,1
cargo_esocial_024,eSocial-024,Enfermeiro,2014-01-01,,223,223505,1
cargo_esocial_025,eSocial-025,Atendente de enfermagem no serviço doméstico,2014-01-01,,515,515110,1
cargo_esocial_026,eSocial-026,Auxiliar de enfermagem,2014-01-01,,322,322230,1
cargo_esocial_027,eSocial-027,Técnico de enfermagem,2014-01-01,,322,322205,1
cargo_esocial_028,eSocial-028,Assistente social,2014-01-01,,251,251605,1
cargo_esocial_029,eSocial-029,Fisioterapeutas,2014-01-01,,223,223605,1
cargo_esocial_030,eSocial-030,"Médicos, em geral",2014-01-01,,225,225125,1
cargo_esocial_031,eSocial-031,Nutricionistas,2014-01-01,,223,223710,1
cargo_esocial_032,eSocial-032,Fonoaudiólogos,2014-01-01,,223,223810,1
cargo_esocial_033,eSocial-033,Psicólogos e psicanalistas,2014-01-01,,251,251510,1
cargo_esocial_034,eSocial-034,Terapeutas ocupacionais e afins,2014-01-01,,223,223905,1
cargo_esocial_035,eSocial-035,Professores de educação infantil,2014-01-01,,231,231105,1
cargo_esocial_036,eSocial-036,Professores de ensino fundamental,2014-01-01,,231,231210,1
cargo_esocial_037,eSocial-037,Professores do ensino médio,2014-01-01,,232,232110,1
cargo_esocial_038,eSocial-038,Administradores,2014-01-01,,252,252105,1
cargo_esocial_039,eSocial-039,Contadores e afins,2014-01-01,,252,252210,1
cargo_esocial_040,eSocial-040,Economista doméstico,2014-01-01,,251,251610,1
cargo_esocial_041,eSocial-041,Marinheiro de esporte e recreio,2014-01-01,,782,782725,1
cargo_esocial_042,eSocial-042,Marinheiro de convés,2014-01-01,,782,782705,1
cargo_esocial_043,eSocial-043,Moço de convés,2014-01-01,,782,782715,1
cargo_esocial_044,eSocial-044,Piloto comercial de helicóptero,2014-01-01,,341,341110,1
cargo_esocial_045,eSocial-045,Piloto de aeronaves,2014-01-01,,215,215305,1
cargo_esocial_200,eSocial-200,Técnico agrícola,2014-01-01,,321,321105,2
cargo_esocial_201,eSocial-201,Técnico agropecuário,2014-01-01,,321,321110,2
cargo_esocial_202,eSocial-202,Técnico em piscicultura,2014-01-01,,321,321305,2
cargo_esocial_203,eSocial-203,Técnico em carcinicultura,2014-01-01,,321,321310,2
cargo_esocial_204,eSocial-204,Técnico em mitilicultura,2014-01-01,,321,321315,2
cargo_esocial_205,eSocial-205,Técnico em ranicultura,2014-01-01,,321,321320,2
cargo_esocial_206,eSocial-206,"Produtor agropecuário, em geral",2014-01-01,,611,611005,2
cargo_esocial_207,eSocial-207,Produtor agrícola polivalente,2014-01-01,,612,612005,2
cargo_esocial_208,eSocial-208,Produtor de arroz,2014-01-01,,612,612105,2
cargo_esocial_209,eSocial-209,Produtor de cana-de-açúcar,2014-01-01,,612,612110,2
cargo_esocial_210,eSocial-210,Produtor de cereais de inverno,2014-01-01,,612,612115,2
cargo_esocial_211,eSocial-211,Produtor de gramíneas forrageiras,2014-01-01,,612,612120,2
cargo_esocial_212,eSocial-212,Produtor de milho e sorgo,2014-01-01,,612,612125,2
cargo_esocial_213,eSocial-213,Produtor de algodão,2014-01-01,,612,612205,2
cargo_esocial_214,eSocial-214,Produtor de curauá,2014-01-01,,612,612210,2
cargo_esocial_215,eSocial-215,Produtor de juta,2014-01-01,,612,612215,2
cargo_esocial_216,eSocial-216,Produtor de rami,2014-01-01,,612,612220,2
cargo_esocial_217,eSocial-217,Produtor de sisal,2014-01-01,,612,612225,2
cargo_esocial_218,eSocial-218,Produtor na olericultura de legumes,2014-01-01,,612,612305,2
cargo_esocial_219,eSocial-219,"Produtor na olericultura de raízes, bulbos e tubérculos",2014-01-01,,612,612310,2
cargo_esocial_220,eSocial-220,"Produtor na olericultura de talos, folhas e flores",2014-01-01,,612,612315,2
cargo_esocial_221,eSocial-221,Produtor na olericultura de frutos e sementes,2014-01-01,,612,612320,2
cargo_esocial_222,eSocial-222,Produtor de flores de corte,2014-01-01,,612,612405,2
cargo_esocial_223,eSocial-223,Produtor de flores em vaso,2014-01-01,,612,612410,2
cargo_esocial_224,eSocial-224,Produtor de forrações,2014-01-01,,612,612415,2
cargo_esocial_225,eSocial-225,Produtor de plantas ornamentais,2014-01-01,,612,612420,2
cargo_esocial_226,eSocial-226,Produtor de árvores frutíferas,2014-01-01,,612,612505,2
cargo_esocial_227,eSocial-227,Produtor de espécies frutíferas rasteiras,2014-01-01,,612,612510,2
cargo_esocial_228,eSocial-228,Produtor de espécies frutíferas trepadeiras,2014-01-01,,612,612515,2
cargo_esocial_229,eSocial-229,Cafeicultor,2014-01-01,,612,612605,2
cargo_esocial_230,eSocial-230,Produtor de cacau,2014-01-01,,612,612610,2
cargo_esocial_231,eSocial-231,Produtor de erva-mate,2014-01-01,,612,612615,2
cargo_esocial_232,eSocial-232,Produtor de fumo,2014-01-01,,612,612620,2
cargo_esocial_233,eSocial-233,Produtor de guaraná,2014-01-01,,612,612625,2
cargo_esocial_234,eSocial-234,Produtor da cultura de amendoim,2014-01-01,,612,612705,2
cargo_esocial_235,eSocial-235,Produtor da cultura de canola,2014-01-01,,612,612710,2
cargo_esocial_236,eSocial-236,Produtor da cultura de coco-da-baia,2014-01-01,,612,612715,2
cargo_esocial_237,eSocial-237,Produtor da cultura de dendê,2014-01-01,,612,612720,2
cargo_esocial_238,eSocial-238,Produtor da cultura de girassol,2014-01-01,,612,612725,2
cargo_esocial_239,eSocial-239,Produtor da cultura de linho,2014-01-01,,612,612730,2
cargo_esocial_240,eSocial-240,Produtor da cultura de mamona,2014-01-01,,612,612735,2
cargo_esocial_241,eSocial-241,Produtor da cultura de soja,2014-01-01,,612,612740,2
cargo_esocial_242,eSocial-242,Produtor de especiarias,2014-01-01,,612,612805,2
cargo_esocial_243,eSocial-243,Produtor de plantas aromáticas e medicinais,2014-01-01,,612,612810,2
cargo_esocial_244,eSocial-244,Criador em pecuária polivalente,2014-01-01,,613,613005,2
cargo_esocial_245,eSocial-245,Criador de animais domésticos,2014-01-01,,613,613010,2
cargo_esocial_246,eSocial-246,Criador de asininos e muares,2014-01-01,,613,613105,2
cargo_esocial_247,eSocial-247,Criador de bovinos (corte),2014-01-01,,613,613110,2
cargo_esocial_248,eSocial-248,Criador de bovinos (leite),2014-01-01,,613,613115,2
cargo_esocial_249,eSocial-249,Criador de bubalinos (corte),2014-01-01,,613,613120,2
cargo_esocial_250,eSocial-250,Criador de bubalinos (leite),2014-01-01,,613,613125,2
cargo_esocial_251,eSocial-251,Criador de eqüinos,2014-01-01,,613,613130,2
cargo_esocial_252,eSocial-252,Criador de caprinos,2014-01-01,,613,613205,2
cargo_esocial_253,eSocial-253,Criador de ovinos,2014-01-01,,613,613210,2
cargo_esocial_254,eSocial-254,Criador de suínos,2014-01-01,,613,613215,2
cargo_esocial_255,eSocial-255,Avicultor,2014-01-01,,613,613305,2
cargo_esocial_256,eSocial-256,Cunicultor,2014-01-01,,613,613310,2
cargo_esocial_257,eSocial-257,Apicultor,2014-01-01,,613,613405,2
cargo_esocial_258,eSocial-258,Criador de animais produtores de veneno,2014-01-01,,613,613410,2
cargo_esocial_259,eSocial-259,Minhocultor,2014-01-01,,613,613415,2
cargo_esocial_260,eSocial-260,Sericultor,2014-01-01,,613,613420,2
cargo_esocial_261,eSocial-261,Supervisor de exploração agrícola,2014-01-01,,620,620105,2
cargo_esocial_262,eSocial-262,Supervisor de exploração agropecuária,2014-01-01,,620,620110,2
cargo_esocial_263,eSocial-263,Supervisor de exploração pecuária,2014-01-01,,620,620115,2
cargo_esocial_264,eSocial-264,Trabalhador agropecuário em geral,2014-01-01,,621,621005,2
cargo_esocial_265,eSocial-265,Trabalhador na produção de mudas e sementes,2014-01-01,,622,622015,2
cargo_esocial_266,eSocial-266,Trabalhador volante da agricultura,2014-01-01,,622,622020,2
cargo_esocial_267,eSocial-267,Trabalhador da cultura de arroz,2014-01-01,,622,622105,2
cargo_esocial_268,eSocial-268,Trabalhador da cultura de cana-de-açúcar,2014-01-01,,622,622110,2
cargo_esocial_269,eSocial-269,Trabalhador da cultura de milho e sorgo,2014-01-01,,622,622115,2
cargo_esocial_270,eSocial-270,"Trabalhador da cultura de trigo, aveia, cevada e triticale",2014-01-01,,622,622120,2
cargo_esocial_271,eSocial-271,Trabalhador da cultura de algodão,2014-01-01,,622,622205,2
cargo_esocial_272,eSocial-272,Trabalhador da cultura de sisal,2014-01-01,,622,622210,2
