id,codigo,nome,dt_inicio,dt_fim,grupo,aliq_fgts,obriga,aliq_fgts_co,cp,emprestimo_consignado
cat_trab_101,101,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",2014-01-01,,SE,8,1,,2,S
cat_trab_102,102,Empregado - Trabalhador rural por pequeno prazo da Lei 11.718/2008,2014-01-01,,SE,8,1,,1,N
cat_trab_103,103,Empregado - Aprendiz,2014-01-01,,SE,2,1,,2,N
cat_trab_104,104,Empregado - Doméstico,2014-01-01,,SE,8,1,"3,2",2,S
cat_trab_105,105,Empregado - Contrato a termo firmado nos termos da Lei 9.601/1998,2014-01-01,,SE,8,1,,2,N
cat_trab_106,106,Trabalhador temporário - Contrato nos termos da Lei 6.019/1974,2014-01-01,,SE,8,1,,2,N
cat_trab_107,107,Empregado - Contrato de trabalho Verde e Amarelo - sem acordo para antecipação mensal da multa rescisória do FGTS,2020-01-01,2022-12-31,SE,2,1,,2,N
cat_trab_108,108,Empregado - Contrato de trabalho Verde e Amarelo - com acordo para antecipação mensal da multa rescisória do FGTS,2020-01-01,2022-12-31,SE,"0,4",1,,2,N
cat_trab_111,111,Empregado - Contrato de trabalho intermitente,2014-01-01,,SE,8,1,,2,N
cat_trab_201,201,Trabalhador avulso portuário,2014-01-01,,AV,8,2,,2,N
cat_trab_202,202,Trabalhador avulso não portuário,2014-01-01,,AV,8,2,,2,N
cat_trab_301,301,"Servidor público titular de cargo efetivo, magistrado, ministro de Tribunal de Contas, conselheiro de Tribunal de Contas e membro do Ministério Público",2014-01-01,,SP,,1,,2,N
cat_trab_302,302,Servidor público ocupante de cargo exclusivo em comissão,2014-01-01,,SP,,1,,2,N
cat_trab_303,303,Exercente de mandato eletivo,2014-01-01,,SP,,1,,2,N
cat_trab_304,304,"Servidor público exercente de mandato eletivo, inclusive com exercício de cargo em comissão",2014-01-01,,SP,,2,,2,N
cat_trab_305,305,"Servidor público indicado para conselho ou órgão deliberativo, na condição de representante do governo, órgão ou entidade da administração pública",2014-01-01,,SP,,2,,2,N
cat_trab_306,306,"Servidor público contratado por tempo determinado, sujeito a regime administrativo especial definido em lei própria",2014-01-01,,SP,,1,,2,N
cat_trab_307,307,Militar dos Estados e Distrito Federal,2014-01-01,,SP,,1,,2,N
cat_trab_308,308,Conscrito,2014-01-01,2023-04-25,SP,,2,,0,N
cat_trab_309,309,Agente público - Outros,2014-01-01,,SP,,1,,2,N
cat_trab_310,310,Servidor público eventual,2014-01-01,,SP,,1,,2,N
cat_trab_311,311,"Ministros, juízes, procuradores, promotores ou oficiais de justiça à disposição da Justiça Eleitoral",2014-01-01,,SP,,0,,0,N
cat_trab_312,312,Auxiliar local,2014-01-01,,SP,,1,,2,N
cat_trab_313,313,"Servidor público exercente de atividade de instrutoria, capacitação, treinamento, curso ou concurso, ou convocado para pareceres técnicos ou depoimentos",2014-01-01,,SP,,0,,0,N
cat_trab_314,314,Militar das Forças Armadas,2014-01-01,,SP,,1,,2,N
cat_trab_401,401,Dirigente sindical - Informação prestada pelo sindicato,2014-01-01,,CE,,2,,9,N
cat_trab_410,410,Trabalhador cedido/exercício em outro órgão/juiz auxiliar - Informação prestada pelo cessionário/destino,2014-01-01,,CE,,2,,9,N
cat_trab_501,501,Dirigente sindical - Segurado especial,2014-01-01,,SG,,0,,0,N
cat_trab_701,701,"Contribuinte individual - Autônomo em geral, exceto se enquadrado em uma das demais categorias de contribuinte individual",2014-01-01,,CI,,0,,3,N
cat_trab_711,711,Contribuinte individual - Transportador autônomo de passageiros,2014-01-01,,CI,,0,,3,N
cat_trab_712,712,Contribuinte individual - Transportador autônomo de carga,2014-01-01,,CI,,0,,3,N
cat_trab_721,721,"Contribuinte individual - Diretor não empregado, com FGTS",2014-01-01,,CI,8,2,,3,S
cat_trab_722,722,"Contribuinte individual - Diretor não empregado, sem FGTS",2014-01-01,,CI,,2,,3,N
cat_trab_723,723,"Contribuinte individual - Empresário, sócio e membro de conselho de administração ou fiscal",2014-01-01,,CI,,2,,3,N
cat_trab_731,731,Contribuinte individual - Cooperado que presta serviços por intermédio de cooperativa de trabalho,2014-01-01,,CI,,2,,3,N
cat_trab_734,734,Contribuinte individual - Transportador cooperado que presta serviços por intermédio de cooperativa de trabalho,2014-01-01,,CI,,2,,3,N
cat_trab_738,738,Contribuinte individual - Cooperado filiado a cooperativa de produção,2014-01-01,,CI,,2,,3,N
cat_trab_741,741,Contribuinte individual - Microempreendedor individual,2014-01-01,,CI,,0,,3,N
cat_trab_751,751,Contribuinte individual - Magistrado classista temporário da Justiça do Trabalho ou da Justiça Eleitoral que seja aposentado de qualquer regime previdenciário,2014-01-01,,CI,,0,,3,N
cat_trab_761,761,"Contribuinte individual - Associado eleito para direção de cooperativa, associação ou entidade de classe de qualquer natureza ou finalidade, bem como o síndico ou administrador eleito para exercer atividade de direção condominial, desde que recebam remuneração",2014-01-01,,CI,,2,,3,N
cat_trab_771,771,"Contribuinte individual - Membro de conselho tutelar, nos termos da Lei 8.069/1990",2014-01-01,,CI,,2,,3,N
cat_trab_781,781,"Ministro de confissão religiosa ou membro de vida consagrada, de congregação ou de ordem religiosa",2014-01-01,,CI,,0,,3,N
cat_trab_901,901,Estagiário,2014-01-01,,ES,,2,,0,N
cat_trab_902,902,"Médico residente, residente em área profissional de saúde ou médico em curso de formação",2014-01-01,,ES,,2,,3,N
cat_trab_903,903,Bolsista,2014-01-01,,ES,,0,,0,N
cat_trab_904,904,"Participante de curso de formação, como etapa de concurso público, sem vínculo de emprego/estatutário",2014-01-01,,ES,,0,,0,N
cat_trab_905,905,Atleta não profissional em formação que receba bolsa,2014-01-01,2021-07-18,ES,,0,,3,N
cat_trab_906,906,Beneficiário do Programa Nacional de Prestação de Serviço Civil Voluntário,2022-01-28,,ES,,2,,0,N
