id,codigo,nome,dt_inicio,dt_fim,desc_resumida
cid_a00,A00,Cólera,2014-01-01,,A00 Colera
cid_a000,A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",2014-01-01,,A00.0 Colera dev Vibrio cholerae 01 biot cholerae
cid_a001,A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",2014-01-01,,A00.1 Colera dev Vibrio cholerae 01 biot El Tor
cid_a009,A009,Cólera não especificada,2014-01-01,,A00.9 Colera NE
cid_a01,A01,Febres tifóide e paratifóide,2014-01-01,,A01 Febres tifoide e paratifoide
cid_a010,A010,Febre tifóide,2014-01-01,,A01.0 Febre tifoide
cid_a011,A011,Febre paratifóide A,2014-01-01,,A01.1 Febre paratifoide A
cid_a012,A012,Febre paratifóide B,2014-01-01,,A01.2 Febre paratifoide B
cid_a013,A013,Febre paratifóide C,2014-01-01,,A01.3 Febre paratifoide C
cid_a014,A014,Febre paratifóide não especificada,2014-01-01,,A01.4 Febre paratifoide NE
cid_a02,A02,Outras infecções por Salmonella,2014-01-01,,A02 Outr infecc p/Salmonella
cid_a020,A020,Enterite por salmonela,2014-01-01,,A02.0 Enterite p/salmonela
cid_a021,A021,Septicemia por salmonela,2014-01-01,,A02.1 Septicemia p/salmonela
cid_a022,A022,Infecções localizadas por salmonela,2014-01-01,,A02.2 Infecc localizadas p/salmonela
cid_a028,A028,Outras infecções especificadas por salmonela,2014-01-01,,A02.8 Outr infecc espec p/salmonela
cid_a029,A029,Infecção não especificada por salmonela,2014-01-01,,A02.9 Infecc NE p/salmonela
cid_a03,A03,Shiguelose,2014-01-01,,A03 Shiguelose
cid_a030,A030,Shiguelose devida a Shigella dysenteriae,2014-01-01,,A03.0 Shiguelose dev Shigella dysenteriae
cid_a031,A031,Shiguelose devida a Shigella flexneri,2014-01-01,,A03.1 Shiguelose dev Shigella flexneri
cid_a032,A032,Shiguelose devida a Shigella boydii,2014-01-01,,A03.2 Shiguelose dev Shigella boydii
cid_a033,A033,Shiguelose devida a Shigella sonnei,2014-01-01,,A03.3 Shiguelose dev Shigella sonnei
cid_a038,A038,Outras shigueloses,2014-01-01,,A03.8 Outr shigueloses
cid_a039,A039,Shiguelose não especificada,2014-01-01,,A03.9 Shiguelose NE
cid_a04,A04,Outras infecções intestinais bacterianas,2014-01-01,,A04 Outr infecc intestinais bacter
cid_a040,A040,Infecção por Escherichia coli enteropatogênica,2014-01-01,,A04.0 Infecc p/Escherichia coli enteropatogenica
cid_a041,A041,Infecção por Escherichia coli enterotoxigênica,2014-01-01,,A04.1 Infecc p/Escherichia coli enterotoxigenica
cid_a042,A042,Infecção por Escherichia coli enteroinvasiva,2014-01-01,,A04.2 Infecc p/Escherichia coli enteroinvasiva
cid_a043,A043,Infecção por Escherichia coli enterohemorrágica,2014-01-01,,A04.3 Infecc p/Escherichia coli enterohemorragica
cid_a044,A044,Outras infecções intestinais por Escherichia coli,2014-01-01,,A04.4 Outr infecc intestinais p/Escherichia coli
cid_a045,A045,Enterite por Campylobacter,2014-01-01,,A04.5 Enterite p/Campylobacter
cid_a046,A046,Enterite devida a Yersinia enterocolítica,2014-01-01,,A04.6 Enterite dev Yersinia enterocolitica
cid_a047,A047,Enterocolite devida a Clostridium difficile,2014-01-01,,A04.7 Enterocolite dev Clostridium difficile
cid_a048,A048,Outras infecções bacterianas intestinais especificadas,2014-01-01,,A04.8 Outr infecc bacter intestinais espec
cid_a049,A049,Infecção intestinal bacteriana não especificada,2014-01-01,,A04.9 Infecc intestinal bacter NE
cid_a05,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",2014-01-01,,A05 Outr intox alimentares bacter NCOP
cid_a050,A050,Intoxicação alimentar estafilocócica,2014-01-01,,A05.0 Intox alimentar estafilococica
cid_a051,A051,Botulismo,2014-01-01,,A05.1 Botulismo
cid_a052,A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],2014-01-01,,A05.2 Intox alimentar dev Clostridium perfringens
cid_a053,A053,Intoxicação alimentar devida a Vibrio parahemolyticus,2014-01-01,,A05.3 Intox alimentar dev Vibrio parahemolyticus
cid_a054,A054,Intoxicação alimentar devida a Bacillus cereus,2014-01-01,,A05.4 Intox alimentar dev Bacillus cereus
cid_a058,A058,Outras intoxicações alimentares bacterianas especificadas,2014-01-01,,A05.8 Outr intox alimentares bacter espec
cid_a059,A059,Intoxicação alimentar bacteriana não especificada,2014-01-01,,A05.9 Intox alimentar bacter NE
cid_a06,A06,Amebíase,2014-01-01,,A06 Amebiase
cid_a060,A060,Disenteria amebiana aguda,2014-01-01,,A06.0 Disenteria amebiana aguda
cid_a061,A061,Amebíase intestinal crônica,2014-01-01,,A06.1 Amebiase intestinal cronica
cid_a062,A062,Colite amebiana não-disentérica,2014-01-01,,A06.2 Colite amebiana nao-disenterica
cid_a063,A063,Ameboma intestinal,2014-01-01,,A06.3 Ameboma intestinal
cid_a064,A064,Abscesso amebiano do fígado,2014-01-01,,A06.4 Abscesso amebiano do figado
cid_a065,A065,Abscesso amebiano do pulmão,2014-01-01,,A06.5 Abscesso amebiano do pulmao
cid_a066,A066,Abscesso amebiano do cérebro,2014-01-01,,A06.6 Abscesso amebiano do cerebro
cid_a067,A067,Amebíase cutânea,2014-01-01,,A06.7 Amebiase cutanea
cid_a068,A068,Infecção amebiana de outras localizações,2014-01-01,,A06.8 Infecc amebiana de outr localiz
cid_a069,A069,Amebíase não especificada,2014-01-01,,A06.9 Amebiase NE
cid_a07,A07,Outras doenças intestinais por protozoários,2014-01-01,,A07 Outr doenc intestinais p/protozoarios
cid_a070,A070,Balantidíase,2014-01-01,,A07.0 Balantidiase
cid_a071,A071,Giardíase [lamblíase],2014-01-01,,A07.1 Giardiase
cid_a072,A072,Criptosporidiose,2014-01-01,,A07.2 Criptosporidiose
cid_a073,A073,Isosporíase,2014-01-01,,A07.3 Isosporiase
cid_a078,A078,Outras doenças intestinais especificadas por protozoários,2014-01-01,,A07.8 Outr doenc intestinais espec p/protozoarios
cid_a079,A079,Doença intestinal não especificada por protozoários,2014-01-01,,A07.9 Doenc intestinal NE p/protozoarios
cid_a08,A08,"Infecções intestinais virais, outras e as não especificadas",2014-01-01,,A08 Infecc intestinais virais outr e as NE
cid_a080,A080,Enterite por rotavírus,2014-01-01,,A08.0 Enterite p/rotavirus
cid_a081,A081,Gastroenteropatia aguda pelo agente de Norwalk,2014-01-01,,A08.1 Gastroenteropatia aguda p/agente de Norwalk
cid_a082,A082,Enterite por adenovírus,2014-01-01,,A08.2 Enterite p/adenovirus
cid_a083,A083,Outras enterites virais,2014-01-01,,A08.3 Outr enterites virais
cid_a084,A084,Infecção intestinal devida a vírus não especificado,2014-01-01,,A08.4 Infecc intestinal dev virus NE
cid_a085,A085,Outras infecções intestinais especificadas,2014-01-01,,A08.5 Outr infecc intestinais espec
cid_a09,A09,Diarréia e gastroenterite de origem infecciosa presumível,2014-01-01,,A09 Diarreia e gastroenterite orig infecc presum
cid_a15,A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",2014-01-01,,A15 Tuberc respirat c/conf bacteriol e histolog
cid_a150,A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",2014-01-01,,A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult
cid_a151,A151,"Tuberculose pulmonar, com confirmação somente por cultura",2014-01-01,,A15.1 Tuberc pulmonar c/conf somente p/cultura
cid_a152,A152,"Tuberculose pulmonar, com confirmação histológica",2014-01-01,,A15.2 Tuberc pulmonar c/conf histolog
cid_a153,A153,"Tuberculose pulmonar, com confirmação por meio não especificado",2014-01-01,,A15.3 Tuberc pulmonar c/conf p/meio NE
cid_a154,A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",2014-01-01,,A15.4 Tuberc gangl intrator c/conf bacter e histol
cid_a155,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",2014-01-01,,A15.5 Tuberc laring traq bronq c/conf bact e hist
cid_a156,A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",2014-01-01,,A15.6 Pleuris tuberc c/conf bacteriol e histolog
cid_a157,A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",2014-01-01,,A15.7 Tuberc prim vias respir c/conf bact e histol
cid_a158,A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",2014-01-01,,A15.8 Outr form tuberc via resp c/conf bact hist
cid_a159,A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",2014-01-01,,A15.9 Tuberc NE vias respir c/conf bacter histol
cid_a16,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",2014-01-01,,A16 Tuberc vias respirat s/conf bacter histol
cid_a160,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,2014-01-01,,A16.0 Tuberc pulmonar c/exames bact e hist negat
cid_a161,A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",2014-01-01,,A16.1 Tuberc pulmonar s/exame bacter ou histolog
cid_a162,A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",2014-01-01,,A16.2 Tuberc pulmonar s/menc conf bact ou hist
cid_a163,A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",2014-01-01,,A16.3 Tuberc gangl intrat s/menc conf bact hist
