id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_0121101,0121101,"Horticultura, exceto morango",2016-07-01,,0121101
cnae_mei_0159801,0159801,Apicultura,2016-07-01,,0159801
cnae_mei_0159802,0159802,Criação de animais de estimação,2016-07-01,,0159802
cnae_mei_0161001,0161001,Serviço de pulverização e controle de pragas agrícolas,2016-07-01,,0161001
cnae_mei_0161002,0161002,Serviço de poda de árvores para lavouras,2016-07-01,,0161002
cnae_mei_0161003,0161003,"Serviço de preparação de terreno, cultivo e colheita",2016-07-01,,0161003
cnae_mei_0162802,0162802,Serviço de tosquiamento de ovinos,2016-07-01,,0162802
cnae_mei_0321304,0321304,Criação de peixes ornamentais em água salgada e salobra,2016-07-01,,0321304
cnae_mei_0322104,0322104,Criação de peixes ornamentais em água doce,2016-07-01,,0322104
cnae_mei_0892401,0892401,Extração de sal marinho,2016-07-01,,0892401
cnae_mei_1012101,1012101,Abate de aves,2016-07-01,,1012101
cnae_mei_1013901,1013901,Fabricação de produtos de carne,2016-07-01,,1013901
cnae_mei_1031700,1031700,Fabricação de conservas de frutas,2016-07-01,,1031700
cnae_mei_1032599,1032599,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",2016-07-01,,1032599
cnae_mei_1033301,1033301,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",2016-07-01,,1033301
cnae_mei_1033302,1033302,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",2016-07-01,,1033302
cnae_mei_1052000,1052000,Fabricação de laticínios,2016-07-01,,1052000
cnae_mei_1061902,1061902,Fabricação de produtos do arroz,2016-07-01,,1061902
cnae_mei_1063500,1063500,Fabricação de farinha de mandioca e derivados,2016-07-01,,1063500
cnae_mei_1064300,1064300,"Fabricação de farinha de milho e derivados, exceto óleos de milho",2016-07-01,,1064300
cnae_mei_1065101,1065101,Fabricação de amidos e féculas de vegetais,2016-07-01,,1065101
cnae_mei_1069400,1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,2016-07-01,,1069400
cnae_mei_1071600,1071600,Fabricação de açúcar em bruto,2016-07-01,,1071600
cnae_mei_1091101,1091101,Fabricação de produtos de panificação industrial,2016-07-01,,1091101
cnae_mei_1091102,1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,2016-07-01,,1091102
cnae_mei_1092900,1092900,Fabricação de biscoitos e bolachas,2016-07-01,,1092900
cnae_mei_1093701,1093701,Fabricação de produtos derivados do cacau e de chocolates,2016-07-01,,1093701
cnae_mei_1093702,1093702,"Fabricação de frutas cristalizadas, balas e semelhantes",2016-07-01,,1093702
cnae_mei_1094500,1094500,Fabricação de massas alimentícias,2016-07-01,,1094500
cnae_mei_1095300,1095300,"Fabricação de especiarias, molhos, temperos e condimentos",2016-07-01,,1095300
cnae_mei_1096100,1096100,Fabricação de alimentos e pratos prontos,2016-07-01,,1096100
cnae_mei_1099601,1099601,Fabricação de vinagres,2016-07-01,,1099601
cnae_mei_1099604,1099604,Fabricação de gelo comum,2016-07-01,,1099604
cnae_mei_1099605,1099605,"Fabricação de produtos para infusão (chá, mate, etc.)",2016-07-01,,1099605
cnae_mei_1099699,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,2016-07-01,,1099699
cnae_mei_1122403,1122403,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",2016-07-01,,1122403
cnae_mei_1122499,1122499,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,2016-07-01,,1122499
cnae_mei_1220499,1220499,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",2016-07-01,,1220499
cnae_mei_1311100,1311100,Preparação e fiação de fibras de algodão,2016-07-01,,1311100
cnae_mei_1312000,1312000,"Preparação e fiação de fibras têxteis naturais, exceto algodão",2016-07-01,,1312000
cnae_mei_1321900,1321900,Tecelagem de fios de algodão,2016-07-01,,1321900
