id,cod_categ,class_trib,dt_inicio,dt_fim,n_class_trib,cooperativa,tp_lotacao
compat_categ_101,101,,2014-01-01,,,,01;02;03;04;10;21;90;91
compat_categ_102,102,21;22,2014-01-01,,,,01;21;91
compat_categ_103,103,,2014-01-01,,22,,01;02;03;04;21;90;91
compat_categ_104,104,21;22,2014-01-01,,,,24
compat_categ_105,105,,2014-01-01,,,,01;02;03;04;10;21;24;90;91
compat_categ_106,106,,2014-01-01,,,,01;02;03;04;10;21;24;90;91
compat_categ_107,107,,2020-01-01,,,,01;02;03;04;10;21;90;91
compat_categ_108,108,,2020-01-01,,,,01;02;03;04;10;21;90;91
compat_categ_111,111,,2014-01-01,,,,01;02;03;04;10;21;90;91
compat_categ_201,201,09,2014-01-01,,,,01;08
compat_categ_202,202,,2014-01-01,,21;22,,01;09
compat_categ_301,301,80;85,2014-01-01,,,,01;02;90;91
compat_categ_302,302,13;80;85;99,2014-01-01,,,,01;02;90;91
compat_categ_303,303,80;85,2014-01-01,,,,01;90;91
compat_categ_304,304,80;85,2014-01-01,,,,01;90;91
compat_categ_305,305,13;80;85;99,2014-01-01,,21;22,,01;90;91
compat_categ_306,306,13;80;85;99,2014-01-01,,,,01;02;90;91
compat_categ_307,307,80;85,2014-01-01,,,,01;02;90;91
compat_categ_308,308,80;85,2014-01-01,,,,01;02;90;91
compat_categ_309,309,21;80;85,2014-01-01,,,,01;02;21;90;91
compat_categ_310,310,80;85,2014-01-01,,,,01;02;90;91
compat_categ_311,311,80;85,2014-01-01,,,,01;90;91
compat_categ_312,312,80;85,2014-01-01,,,,01;90;91
compat_categ_313,313,80;85,2014-01-01,,,,01;90;91
compat_categ_314,314,80;85,2014-01-01,,,,01
compat_categ_401,401,10;14,2014-01-01,,,,01;10
compat_categ_410,410,13;80;85;99,2014-01-01,,,,01;10
compat_categ_501,501,10;14,2014-01-01,,,,01;10
compat_categ_701,701,,2014-01-01,,,,01;02;03;04;10;21;91
compat_categ_711,711,,2014-01-01,,,,01;02;03;04;10;21;91
compat_categ_712,712,,2014-01-01,,,,01;02;03;04;10;21;91
compat_categ_721,721,,2014-01-01,,04;21;22,,01;02;90;91
compat_categ_722,722,,2014-01-01,,04;21;22,,01;02;90;91
compat_categ_723,723,,2014-01-01,,04;21;22,,01;02;03;04;10;90;91
compat_categ_731,731,13;99,2014-01-01,2019-01-20,,1,01;02;03;04;05;06;07;10;91
compat_categ_731_36,731,,2019-01-21,,,1,01;02;03;04;05;06;07;10;91
compat_categ_734,734,13;99,2014-01-01,2019-01-20,,1,01;02;03;04;05;06;07;10;91
compat_categ_734_38,734,,2019-01-21,,,1,01;02;03;04;05;06;07;10;91
compat_categ_738,738,06;07;13;99,2014-01-01,2019-01-20,,2,01;91
compat_categ_738_40,738,,2019-01-21,,,2,01;91
compat_categ_741,741,,2014-01-01,,,,01;02;03;04;10;21
compat_categ_751,751,,2014-01-01,,04;21;22,,01
compat_categ_761,761,,2014-01-01,,,,01;91
compat_categ_771,771,85,2014-01-01,,,,01;91
compat_categ_781,781,80;99,2014-01-01,,,,01;10;90;91
compat_categ_901,901,,2014-01-01,,,,01;02;10;21;91
compat_categ_902,902,,2014-01-01,,22,,01;02;10;91;92
compat_categ_903,903,,2014-01-01,,,,01;02;10;21;91
compat_categ_904,904,,2014-01-01,,22,,01;10;21;91
compat_categ_905,905,,2014-01-01,,22,,01;02;10;21;91
compat_categ_906,906,80;85,2022-01-28,,,,01;02;90;91
