id,codigo,class_trib_list,dt_inicio,dt_fim
compat_fpas_507,507,01;02;03;04;06;07;08;09;10;11;13;14;21;22;60;70;85;99,2014-01-01,
compat_fpas_515,515,01;02;03;04;06;07;08;09;10;11;13;14;21;60;70;85;99,2014-01-01,
compat_fpas_523,523,09;10;14;99,2014-01-01,
compat_fpas_531,531,01;02;03;04;06;07;08;10;11;13;14;21;22;60;70;99,2014-01-01,
compat_fpas_540,540,01;02;03;04;06;07;09;10;11;13;14;21;60;70;99,2014-01-01,
compat_fpas_558,558,01;02;03;06;07;09;10;11;13;14;70;99,2014-01-01,
compat_fpas_566,566,01;02;03;04;06;07;09;10;11;13;14;21;99,2014-01-01,
compat_fpas_574,574,01;02;03;04;06;07;09;10;11;13;14;99,2014-01-01,
compat_fpas_582,582,06;07;60;85;99,2014-01-01,
compat_fpas_590,590,01;02;03;06;07;09;10;11;13;14;21;60;70;80;99,2014-01-01,
compat_fpas_604,604,01;02;03;04;06;07;08;10;11;13;14;21;22;99,2014-01-01,
compat_fpas_612,612,01;02;03;04;06;07;09;10;11;13;14;21;85;99,2014-01-01,
compat_fpas_620,620,01;02;03;04;06;07;08;09;10;11;13;14;21;60;70;80;85;99,2014-01-01,
compat_fpas_639,639,80,2014-01-01,
compat_fpas_647,647,11;99,2014-01-01,
compat_fpas_655,655,01;02;03;11;13;70;99,2014-01-01,
compat_fpas_680,680,01;02;03;09,2014-01-01,
compat_fpas_736,736,01;02;03;06;07;10;11;13;14;85;99,2014-01-01,
compat_fpas_744,744,01;02;03;04;06;07;08;09;10;11;13;14;21;22;60;70;80;85;99,2014-01-01,
compat_fpas_779,779,01;02;03;04;06;07;09;10;11;13;14;21;22;60;70;80;85;99,2014-01-01,
compat_fpas_787,787,01;02;03;04;06;07;08;10;11;13;14;21;22;60;99,2014-01-01,
compat_fpas_795,795,01;02;03;06;07;10;11;13;14;99,2014-01-01,
compat_fpas_825,825,01;02;03;06;10;99,2014-01-01,
compat_fpas_833,833,01;02;03;06;10;99,2014-01-01,
compat_fpas_868,868,21;22,2014-01-01,
compat_fpas_876,876,60;99,2014-01-01,
