id,codigo,nome,dt_inicio,dt_fim
dep_fgts_51,51,Depósito do FGTS,2014-01-01,
dep_fgts_52,52,Depósito do FGTS 13° Salário,2014-01-01,
dep_fgts_53,53,Depósito do FGTS (período anterior),2014-01-01,
dep_fgts_54,54,Depósito do FGTS (período anterior) 13º Salário,2014-01-01,
dep_fgts_55,55,Depósito do FGTS - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_56,56,Depósito do FGTS 13° Salário - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_57,57,Depósito do FGTS (período anterior) - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_58,58,Depósito do FGTS (período anterior) 13º Salário - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_61,61,Depósito do FGTS Rescisório,2014-01-01,
dep_fgts_62,62,Depósito do FGTS Rescisório 13° Salário,2014-01-01,
dep_fgts_63,63,Depósito do FGTS Rescisório Aviso Prévio,2014-01-01,
dep_fgts_64,64,Depósito do FGTS Rescisório (período anterior),2014-01-01,
dep_fgts_65,65,Depósito do FGTS Rescisório (período anterior) 13º Salário,2014-01-01,
dep_fgts_66,66,Depósito do FGTS Rescisório (período anterior) Aviso Prévio,2014-01-01,
dep_fgts_67,67,Depósito do FGTS Rescisório - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_68,68,Depósito do FGTS Rescisório 13° Salário - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_69,69,Depósito do FGTS Rescisório Aviso Prévio - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_70,70,Depósito do FGTS Rescisório (período anterior) - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_71,71,Depósito do FGTS Rescisório (período anterior) 13° Salário - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_72,72,Depósito do FGTS Rescisório (período anterior) Aviso Prévio - Aprendiz/Contrato Verde e Amarelo,2014-01-01,
dep_fgts_73,73,Depósito do FGTS - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_74,74,Depósito do FGTS 13° Salário - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_75,75,Depósito do FGTS (período anterior) - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_76,76,Depósito do FGTS (período anterior) 13º Salário - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_77,77,Depósito do FGTS Rescisório - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_78,78,Depósito do FGTS Rescisório 13° Salário - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_79,79,Depósito do FGTS Rescisório Aviso Prévio - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_80,80,Depósito do FGTS Rescisório (período anterior) - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_81,81,Depósito do FGTS Rescisório (período anterior) 13º Salário - Antecipação da multa rescisória do FGTS,2020-01-01,
dep_fgts_82,82,Depósito do FGTS Rescisório (período anterior) Aviso Prévio - Antecipação da multa rescisória do FGTS,2020-01-01,
