id,inf_sal_cont,sup_sal_cont,dt_inicio,dt_fim,aliquota,parcela_deduzir
faixa_inss_0_00,"0,00","1317,07",2014-01-01,2014-12-31,"8,00","0,000"
faixa_inss_1317_08,"1317,08","2195,12",2014-01-01,2014-12-31,"9,00","0,000"
faixa_inss_2195_13,"2195,13","4390,24",2014-01-01,2014-12-31,"11,00","0,000"
faixa_inss_0_00_4,"0,00","1399,12",2015-01-01,2015-12-31,"8,00","0,000"
faixa_inss_1399_13,"1399,13","2331,88",2015-01-01,2015-12-31,"9,00","0,000"
faixa_inss_2331_89,"2331,89","4663,75",2015-01-01,2015-12-31,"11,00","0,000"
faixa_inss_0_00_7,"0,00","1556,94",2016-01-01,2016-12-31,"8,00","0,000"
faixa_inss_1556_95,"1556,95","2594,92",2016-01-01,2016-12-31,"9,00","0,000"
faixa_inss_2594_93,"2594,93","5189,82",2016-01-01,2016-12-31,"11,00","0,000"
faixa_inss_0_00_10,"0,00","1659,38",2017-01-01,2017-12-31,"8,00","0,000"
faixa_inss_1659_39,"1659,39","2765,66",2017-01-01,2017-12-31,"9,00","0,000"
faixa_inss_2765_67,"2765,67","5531,31",2017-01-01,2017-12-31,"11,00","0,000"
faixa_inss_0_00_13,"0,00","1693,72",2018-01-01,2018-12-31,"8,00","0,000"
faixa_inss_1693_73,"1693,73","2822,90",2018-01-01,2018-12-31,"9,00","0,000"
faixa_inss_2822_91,"2822,91","5645,80",2018-01-01,2018-12-31,"11,00","0,000"
faixa_inss_0_00_16,"0,00","1751,81",2019-01-01,2019-12-31,"8,00","0,000"
faixa_inss_1751_82,"1751,82","2919,72",2019-01-01,2019-12-31,"9,00","0,000"
faixa_inss_2919_73,"2919,73","5839,45",2019-01-01,2019-12-31,"11,00","0,000"
faixa_inss_0_00_19,"0,00","1830,29",2020-01-01,2020-02-29,"8,00","0,000"
faixa_inss_1830_30,"1830,30","3050,52",2020-01-01,2020-02-29,"9,00","0,000"
faixa_inss_3050_53,"3050,53","6101,06",2020-01-01,2020-02-29,"11,00","0,000"
faixa_inss_0_00_22,"0,00","1045,00",2020-03-01,2020-12-31,"7,50","0,000"
faixa_inss_1045_00,"1045,00","2089,60",2020-03-01,2020-12-31,"9,00","15,680"
faixa_inss_2089_60,"2089,60","3134,40",2020-03-01,2020-12-31,"12,00","78,372"
faixa_inss_3134_40,"3134,40","6101,06",2020-03-01,2020-12-31,"14,00","141,066"
faixa_inss_0_00_26,"0,00","1100,00",2021-01-01,2021-12-31,"7,50","0,00000"
faixa_inss_1100_00,"1100,00","2203,48",2021-01-01,2021-12-31,"9,00","16,50000"
faixa_inss_2203_48,"2203,48","3305,22",2021-01-01,2021-12-31,"12,00","82,60760"
faixa_inss_3305_22,"3305,22","6433,57",2021-01-01,2021-12-31,"14,00","148,72080"
faixa_inss_0_00_30,"0,00","1212,00",2022-01-01,2022-12-31,"7,50","0,00000"
faixa_inss_1212_00,"1212,00","2427,35",2022-01-01,2022-12-31,"9,00","18,18000"
faixa_inss_2427_35,"2427,35","3641,03",2022-01-01,2022-12-31,"12,00","91,00200"
faixa_inss_3641_03,"3641,03","7087,22",2022-01-01,2022-12-31,"14,00","163,82420"
faixa_inss_0_00_34,"0,00","1302,00",2023-01-01,2023-04-30,"7,50","0,00000"
faixa_inss_1302_00,"1302,00","2571,29",2023-01-01,2023-04-30,"9,00","19,53000"
faixa_inss_2571_29,"2571,29","3856,94",2023-01-01,2023-04-30,"12,00","96,67480"
faixa_inss_3856_94,"3856,94","7507,49",2023-01-01,2023-04-30,"14,00","173,82160"
faixa_inss_0_00_38,"0,00","1320,00",2023-05-01,2023-12-31,"7,50","0,00000"
faixa_inss_1320_00,"1320,00","2571,29",2023-05-01,2023-12-31,"9,00","19,80000"
faixa_inss_2571_29_40,"2571,29","3856,94",2023-05-01,2023-12-31,"12,00","96,94480"
faixa_inss_3856_94_41,"3856,94","7507,49",2023-05-01,2023-12-31,"14,00","174,09160"
faixa_inss_0_00_42,"0,00","1412,00",2024-01-01,2024-12-31,"7,50","0,00000"
faixa_inss_1412_00,"1412,00","2666,68",2024-01-01,2024-12-31,"9,00","21,18000"
faixa_inss_2666_68,"2666,68","4000,03",2024-01-01,2024-12-31,"12,00","101,18160"
faixa_inss_4000_03,"4000,03","7786,02",2024-01-01,2024-12-31,"14,00","181,18420"
faixa_inss_0_00_46,"0,00","1518,00",2025-01-01,2025-12-31,"7,50","0,00000"
faixa_inss_1518_00,"1518,00","2793,88",2025-01-01,2025-12-31,"9,00","22,77000"
faixa_inss_2793_88,"2793,88","4190,83",2025-01-01,2025-12-31,"12,00","106,58640"
faixa_inss_4190_83,"4190,83","8157,41",2025-01-01,2025-12-31,"14,00","190,40300"
faixa_inss_0_00_50,"0,00","1621,00",2026-01-01,,"7,50","0,00000"
faixa_inss_1621_00,"1621,00","2902,84",2026-01-01,,"9,00","24,31500"
faixa_inss_2902_84,"2902,84","4354,27",2026-01-01,,"12,00","111,40020"
faixa_inss_4354_27,"4354,27","8475,55",2026-01-01,,"14,00","198,48560"
