id,inf_base_calc,sup_base_calc,dt_inicio,dt_fim,aliquota,parcela_deduzir
faixa_irrf_0_00,"0,00","1787,77",2014-01-01,2015-03-31,"0,00","0,00"
faixa_irrf_1787_77,"1787,77","2679,29",2014-01-01,2015-03-31,"7,5","134,08"
faixa_irrf_2679_30,"2679,30","3572,43",2014-01-01,2015-03-31,15,"335,03"
faixa_irrf_3572_44,"3572,44","4463,81",2014-01-01,2015-03-31,"22,5","602,96"
faixa_irrf_4463_82,"4463,82",9999999999,2014-01-01,2015-03-31,"27,5","826,15"
faixa_irrf_0_00_6,"0,00","1903,98",2015-04-01,2023-04-30,"0,00","0,00"
faixa_irrf_1903_99,"1903,99","2826,65",2015-04-01,2023-04-30,"7,5","142,8"
faixa_irrf_2826_66,"2826,66","3751,05",2015-04-01,2023-04-30,15,"354,8"
faixa_irrf_3751_06,"3751,06","4664,68",2015-04-01,2023-04-30,"22,5","636,13"
faixa_irrf_4664_69,"4664,69",9999999999,2015-04-01,2023-04-30,"27,5","869,36"
faixa_irrf_0_00_11,"0,00","2112,00",2023-05-01,2024-01-31,"0,00","0,00"
faixa_irrf_2112_01,"2112,01","2826,65",2023-05-01,2024-01-31,"7,5","158,4"
faixa_irrf_2826_66_13,"2826,66","3751,05",2023-05-01,2024-01-31,15,"370,4"
faixa_irrf_3751_06_14,"3751,06","4664,68",2023-05-01,2024-01-31,"22,5","651,73"
faixa_irrf_4664_69_15,"4664,69",9999999999,2023-05-01,2024-01-31,"27,5","884,96"
faixa_irrf_0_00_16,"0,00","2259,20",2024-02-01,2025-04-30,"0,00","0,00"
faixa_irrf_2259_21,"2259,21","2826,65",2024-02-01,2025-04-30,"7,5","169,44"
faixa_irrf_2826_66_18,"2826,66","3751,05",2024-02-01,2025-04-30,15,"381,44"
faixa_irrf_3751_06_19,"3751,06","4664,68",2024-02-01,2025-04-30,"22,5","662,77"
faixa_irrf_4664_69_20,"4664,69",9999999999,2024-02-01,2025-04-30,"27,5",896
faixa_irrf_0_00_21,"0,00","2428,80",2025-05-01,,"0,00","0,00"
faixa_irrf_2428_81,"2428,81","2826,65",2025-05-01,,"7,5","182,16"
faixa_irrf_2826_66_23,"2826,66","3751,05",2025-05-01,,15,"394,16"
faixa_irrf_3751_06_24,"3751,06","4664,68",2025-05-01,,"22,5","675,49"
faixa_irrf_4664_69_25,"4664,69",9999999999,2025-05-01,,"27,5","908,73"
