id,inf_base_calc,sup_base_calc,dt_inicio,dt_fim,valor
faixa_sf_0_00,"0,00","682,50",2014-01-01,2014-12-31,"35,00"
faixa_sf_682_51,"682,51","1025,81",2014-01-01,2014-12-31,"24,66"
faixa_sf_0_00_3,"0,00","725,02",2015-01-01,2015-12-31,"37,18"
faixa_sf_725_03,"725,03","1089,72",2015-01-01,2015-12-31,"26,20"
faixa_sf_0_00_5,"0,00","806,80",2016-01-01,2016-12-31,"41,37"
faixa_sf_806_81,"806,81","1212,64",2016-01-01,2016-12-31,"29,16"
faixa_sf_0_00_7,"0,00","859,88",2017-01-01,2017-12-31,"44,09"
faixa_sf_859_89,"859,89","1292,43",2017-01-01,2017-12-31,"31,07"
faixa_sf_0_00_9,"0,00","877,67",2018-01-01,2018-12-31,"45,00"
faixa_sf_877_68,"877,68","1319,18",2018-01-01,2018-12-31,"31,71"
faixa_sf_0_00_11,"0,00","907,77",2019-01-01,2019-10-31,"46,54"
faixa_sf_907_78,"907,78","1364,43",2019-01-01,2019-10-31,"32,80"
faixa_sf_0_00_13,"0,00","1364,43",2019-11-01,2019-12-31,"46,54"
faixa_sf_0_00_14,"0,00","1425,56",2020-01-01,2020-12-31,"48,62"
faixa_sf_0_00_15,"0,00","1503,25",2021-01-01,2021-12-31,"51,27"
faixa_sf_0_00_16,"0,00","1655,98",2022-01-01,2022-12-31,"56,47"
faixa_sf_0_00_17,"0,00","1754,18",2023-01-01,2023-12-31,"59,82"
faixa_sf_0_00_18,"0,00","1819,26",2024-01-01,2024-12-31,"62,04"
faixa_sf_0_00_19,"0,00","1906,04",2025-01-01,2025-12-31,"65,00"
faixa_sf_0_00_20,"0,00","1980,38",2026-01-01,,"67,54"
