id,codigo,nome,dt_inicio,dt_fim
feriado_01012018,01012018,Confraternização Universal,2018-01-01,
feriado_12022018,12022018,Carnaval,2018-01-01,
feriado_13022018,13022018,Carnaval,2018-01-01,
feriado_30032018,30032018,Sexta-feira da Paixão,2018-01-01,
feriado_21042018,21042018,Tiradentes,2018-01-01,
feriado_01052018,01052018,Dia Mundial do Trabalho,2018-01-01,
feriado_31052018,31052018,Corpus Christi,2018-01-01,
feriado_07092018,07092018,Independência do Brasil,2018-01-01,
feriado_12102018,12102018,Nossa Senhora Aparecida,2018-01-01,
feriado_02112018,02112018,Finados,2018-01-01,
feriado_15112018,15112018,Proclamação da República,2018-01-01,
feriado_25122018,25122018,Natal,2018-01-01,
feriado_01012019,01012019,Confraternização Universal,2018-01-01,
feriado_04032019,04032019,Carnaval,2018-01-01,
feriado_05032019,05032019,Carnaval,2018-01-01,
feriado_19042019,19042019,Sexta-feira da Paixão,2018-01-01,
feriado_21042019,21042019,Tiradentes,2018-01-01,
feriado_01052019,01052019,Dia Mundial do Trabalho,2018-01-01,
feriado_20062019,20062019,Corpus Christi,2018-01-01,
feriado_07092019,07092019,Independência do Brasil,2018-01-01,
feriado_12102019,12102019,Nossa Senhora Aparecida,2018-01-01,
feriado_02112019,02112019,Finados,2018-01-01,
feriado_15112019,15112019,Proclamação da República,2018-01-01,
feriado_25122019,25122019,Natal,2018-01-01,
feriado_01012020,01012020,Confraternização Universal,2018-01-01,
feriado_24022020,24022020,Carnaval,2018-01-01,
feriado_25022020,25022020,Carnaval,2018-01-01,
feriado_10042020,10042020,Sexta-feira da Paixão,2018-01-01,
feriado_21042020,21042020,Tiradentes,2018-01-01,
feriado_01052020,01052020,Dia Mundial do Trabalho,2018-01-01,
feriado_11062020,11062020,Corpus Christi,2018-01-01,
feriado_07092020,07092020,Independência do Brasil,2018-01-01,
feriado_12102020,12102020,Nossa Senhora Aparecida,2018-01-01,
feriado_02112020,02112020,Finados,2018-01-01,
feriado_15112020,15112020,Proclamação da República,2018-01-01,
feriado_25122020,25122020,Natal,2018-01-01,
feriado_01012021,01012021,Confraternização Universal,2018-01-01,
feriado_15022021,15022021,Carnaval,2018-01-01,
feriado_16022021,16022021,Carnaval,2018-01-01,
feriado_02042021,02042021,Sexta-feira da Paixão,2018-01-01,
feriado_21042021,21042021,Tiradentes,2018-01-01,
feriado_01052021,01052021,Dia Mundial do Trabalho,2018-01-01,
feriado_03062021,03062021,Corpus Christi,2018-01-01,
feriado_07092021,07092021,Independência do Brasil,2018-01-01,
feriado_12102021,12102021,Nossa Senhora Aparecida,2018-01-01,
feriado_02112021,02112021,Finados,2018-01-01,
feriado_15112021,15112021,Proclamação da República,2018-01-01,
feriado_25122021,25122021,Natal,2018-01-01,
feriado_01012022,01012022,Confraternização Universal,2018-01-01,
feriado_28022022,28022022,Carnaval,2018-01-01,
feriado_01032022,01032022,Carnaval,2018-01-01,
feriado_15042022,15042022,Sexta-feira da Paixão,2018-01-01,
feriado_21042022,21042022,Tiradentes,2018-01-01,
feriado_01052022,01052022,Dia Mundial do Trabalho,2018-01-01,
feriado_16062022,16062022,Corpus Christi,2018-01-01,
feriado_07092022,07092022,Independência do Brasil,2018-01-01,
feriado_12102022,12102022,Nossa Senhora Aparecida,2018-01-01,
feriado_02112022,02112022,Finados,2018-01-01,
feriado_15112022,15112022,Proclamação da República,2018-01-01,
feriado_25122022,25122022,Natal,2018-01-01,
feriado_01012023,01012023,Confraternização Universal,2018-01-01,
feriado_20022023,20022023,Carnaval,2018-01-01,
feriado_21022023,21022023,Carnaval,2018-01-01,
feriado_07042023,07042023,Sexta-feira da Paixão,2018-01-01,
feriado_21042023,21042023,Tiradentes,2018-01-01,
feriado_01052023,01052023,Dia Mundial do Trabalho,2018-01-01,
feriado_08062023,08062023,Corpus Christi,2018-01-01,
feriado_07092023,07092023,Independência do Brasil,2018-01-01,
feriado_12102023,12102023,Nossa Senhora Aparecida,2018-01-01,
feriado_02112023,02112023,Finados,2018-01-01,
feriado_15112023,15112023,Proclamação da República,2018-01-01,
feriado_25122023,25122023,Natal,2018-01-01,
feriado_01012024,01012024,Confraternização Universal,2018-01-01,
feriado_12022024,12022024,Carnaval,2018-01-01,
feriado_13022024,13022024,Carnaval,2018-01-01,
feriado_29032024,29032024,Sexta-feira da Paixão,2018-01-01,
feriado_21042024,21042024,Tiradentes,2018-01-01,
feriado_01052024,01052024,Dia Mundial do Trabalho,2018-01-01,
feriado_30052024,30052024,Corpus Christi,2018-01-01,
feriado_07092024,07092024,Independência do Brasil,2018-01-01,
feriado_12102024,12102024,Nossa Senhora Aparecida,2018-01-01,
feriado_02112024,02112024,Finados,2018-01-01,
feriado_15112024,15112024,Proclamação da República,2018-01-01,
feriado_20112024,20112024,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122024,25122024,Natal,2018-01-01,
feriado_01012025,01012025,Confraternização Universal,2018-01-01,
feriado_03032025,03032025,Carnaval,2018-01-01,
feriado_04032025,04032025,Carnaval,2018-01-01,
feriado_18042025,18042025,Sexta-feira da Paixão,2018-01-01,
feriado_21042025,21042025,Tiradentes,2018-01-01,
feriado_01052025,01052025,Dia Mundial do Trabalho,2018-01-01,
feriado_19062025,19062025,Corpus Christi,2018-01-01,
feriado_07092025,07092025,Independência do Brasil,2018-01-01,
feriado_12102025,12102025,Nossa Senhora Aparecida,2018-01-01,
feriado_02112025,02112025,Finados,2018-01-01,
feriado_15112025,15112025,Proclamação da República,2018-01-01,
feriado_20112025,20112025,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122025,25122025,Natal,2018-01-01,
feriado_01012026,01012026,Confraternização Universal,2018-01-01,
feriado_16022026,16022026,Carnaval,2018-01-01,
feriado_17022026,17022026,Carnaval,2018-01-01,
feriado_03042026,03042026,Sexta-feira da Paixão,2018-01-01,
feriado_21042026,21042026,Tiradentes,2018-01-01,
feriado_01052026,01052026,Dia Mundial do Trabalho,2018-01-01,
feriado_04062026,04062026,Corpus Christi,2018-01-01,
feriado_07092026,07092026,Independência do Brasil,2018-01-01,
feriado_12102026,12102026,Nossa Senhora Aparecida,2018-01-01,
feriado_02112026,02112026,Finados,2018-01-01,
feriado_15112026,15112026,Proclamação da República,2018-01-01,
feriado_20112026,20112026,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122026,25122026,Natal,2018-01-01,
feriado_01012027,01012027,Confraternização Universal,2018-01-01,
feriado_08022027,08022027,Carnaval,2018-01-01,
feriado_09022027,09022027,Carnaval,2018-01-01,
feriado_26032027,26032027,Sexta-feira da Paixão,2018-01-01,
feriado_21042027,21042027,Tiradentes,2018-01-01,
feriado_01052027,01052027,Dia Mundial do Trabalho,2018-01-01,
feriado_27052027,27052027,Corpus Christi,2018-01-01,
feriado_07092027,07092027,Independência do Brasil,2018-01-01,
feriado_12102027,12102027,Nossa Senhora Aparecida,2018-01-01,
feriado_02112027,02112027,Finados,2018-01-01,
feriado_15112027,15112027,Proclamação da República,2018-01-01,
feriado_20112027,20112027,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122027,25122027,Natal,2018-01-01,
feriado_01012028,01012028,Confraternização Universal,2018-01-01,
feriado_28022028,28022028,Carnaval,2018-01-01,
feriado_29022028,29022028,Carnaval,2018-01-01,
feriado_14042028,14042028,Sexta-feira da Paixão,2018-01-01,
feriado_21042028,21042028,Tiradentes,2018-01-01,
feriado_01052028,01052028,Dia Mundial do Trabalho,2018-01-01,
feriado_15062028,15062028,Corpus Christi,2018-01-01,
feriado_07092028,07092028,Independência do Brasil,2018-01-01,
feriado_12102028,12102028,Nossa Senhora Aparecida,2018-01-01,
feriado_02112028,02112028,Finados,2018-01-01,
feriado_15112028,15112028,Proclamação da República,2018-01-01,
feriado_20112028,20112028,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122028,25122028,Natal,2018-01-01,
feriado_01012029,01012029,Confraternização Universal,2018-01-01,
feriado_12022029,12022029,Carnaval,2018-01-01,
feriado_13022029,13022029,Carnaval,2018-01-01,
feriado_30032029,30032029,Sexta-feira da Paixão,2018-01-01,
feriado_21042029,21042029,Tiradentes,2018-01-01,
feriado_01052029,01052029,Dia Mundial do Trabalho,2018-01-01,
feriado_31052029,31052029,Corpus Christi,2018-01-01,
feriado_07092029,07092029,Independência do Brasil,2018-01-01,
feriado_12102029,12102029,Nossa Senhora Aparecida,2018-01-01,
feriado_02112029,02112029,Finados,2018-01-01,
feriado_15112029,15112029,Proclamação da República,2018-01-01,
feriado_20112029,20112029,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122029,25122029,Natal,2018-01-01,
feriado_01012030,01012030,Confraternização Universal,2018-01-01,
feriado_04032030,04032030,Carnaval,2018-01-01,
feriado_05032030,05032030,Carnaval,2018-01-01,
feriado_19042030,19042030,Sexta-feira da Paixão,2018-01-01,
feriado_21042030,21042030,Tiradentes,2018-01-01,
feriado_01052030,01052030,Dia Mundial do Trabalho,2018-01-01,
feriado_20062030,20062030,Corpus Christi,2018-01-01,
feriado_07092030,07092030,Independência do Brasil,2018-01-01,
feriado_12102030,12102030,Nossa Senhora Aparecida,2018-01-01,
feriado_02112030,02112030,Finados,2018-01-01,
feriado_15112030,15112030,Proclamação da República,2018-01-01,
feriado_20112030,20112030,Dia Nacional de Zumbi e da Consciência Negra,2018-01-01,
feriado_25122030,25122030,Natal,2018-01-01,
