id,cod_fpas,ind_coop,dt_inicio,dt_fim,class_trib,cod_terc,aliq_terc
fpas_terc_507,507,0;Nulo,2014-01-01,,,0001,"2,5"
fpas_terc_507_2,507,0;Nulo,2014-01-01,,,0002,"0,2"
fpas_terc_507_3,507,0;Nulo,2014-01-01,,,0004,1
fpas_terc_507_4,507,0;Nulo,2014-01-01,,,0008,"1,5"
fpas_terc_507_5,507,0;Nulo,2014-01-01,,,0064,"0,6"
fpas_terc_507_6,507,0;Nulo,2014-01-01,,,4096,"2,5"
fpas_terc_507_7,507,1;2;3,2014-01-01,,,0001,"2,5"
fpas_terc_507_8,507,1;2;3,2014-01-01,,,0002,"0,2"
fpas_terc_507_9,507,1;2;3,2014-01-01,,,0064,"0,6"
fpas_terc_507_10,507,1;2;3,2014-01-01,,,4096,"2,5"
fpas_terc_515,515,0;Nulo,2014-01-01,,,0001,"2,5"
fpas_terc_515_12,515,0;Nulo,2014-01-01,,,0002,"0,2"
fpas_terc_515_13,515,0;Nulo,2014-01-01,,,0016,1
fpas_terc_515_14,515,0;Nulo,2014-01-01,,,0032,"1,5"
fpas_terc_515_15,515,0;Nulo,2014-01-01,,,0064,"0,6"
fpas_terc_515_16,515,0;Nulo,2014-01-01,,,4096,"2,5"
fpas_terc_515_17,515,1;2;3,2014-01-01,,,0001,"2,5"
fpas_terc_515_18,515,1;2;3,2014-01-01,,,0002,"0,2"
fpas_terc_515_19,515,1;2;3,2014-01-01,,,0064,"0,6"
fpas_terc_515_20,515,1;2;3,2014-01-01,,,4096,"2,5"
fpas_terc_523,523,,2014-01-01,,,0001,"2,5"
fpas_terc_523_22,523,,2014-01-01,,,0002,"0,2"
fpas_terc_531,531,,2014-01-01,,,0001,"2,5"
fpas_terc_531_24,531,,2014-01-01,,,0002,"2,7"
fpas_terc_540,540,,2014-01-01,,,0001,"2,5"
fpas_terc_540_26,540,,2014-01-01,,,0002,"0,2"
fpas_terc_540_27,540,,2014-01-01,,,0128,"2,5"
fpas_terc_558,558,,2014-01-01,,,0001,"2,5"
fpas_terc_558_29,558,,2014-01-01,,,0002,"0,2"
fpas_terc_558_30,558,,2014-01-01,,,0256,"2,5"
fpas_terc_566,566,0;Nulo,2014-01-01,,,0001,"2,5"
fpas_terc_566_32,566,0;Nulo,2014-01-01,,,0002,"0,2"
fpas_terc_566_33,566,0;Nulo,2014-01-01,,,0032,"1,5"
fpas_terc_566_34,566,0;Nulo,2014-01-01,,,0064,"0,3"
fpas_terc_566_35,566,0;Nulo,2014-01-01,,,4096,"2,5"
fpas_terc_566_36,566,1;2;3,2014-01-01,,,0001,"2,5"
fpas_terc_566_37,566,1;2;3,2014-01-01,,,0002,"0,2"
fpas_terc_566_38,566,1;2;3,2014-01-01,,,0064,"0,3"
fpas_terc_566_39,566,1;2;3,2014-01-01,,,4096,"2,5"
fpas_terc_574,574,0;Nulo,2014-01-01,,,0001,"2,5"
fpas_terc_574_41,574,0;Nulo,2014-01-01,,,0002,"0,2"
fpas_terc_574_42,574,0;Nulo,2014-01-01,,,0032,"1,5"
fpas_terc_574_43,574,0;Nulo,2014-01-01,,,0064,"0,3"
fpas_terc_574_44,574,0;Nulo,2014-01-01,,,4096,"2,5"
fpas_terc_574_45,574,1;2;3,2014-01-01,,,0001,"2,5"
fpas_terc_574_46,574,1;2;3,2014-01-01,,,0002,"0,2"
fpas_terc_574_47,574,1;2;3,2014-01-01,,,0064,"0,3"
fpas_terc_574_48,574,1;2;3,2014-01-01,,,4096,"2,5"
fpas_terc_582,582,,2014-01-01,,,0000,0
fpas_terc_590,590,,2014-01-01,,,0001,"2,5"
fpas_terc_590_51,590,,2014-01-01,,,0000,0
fpas_terc_604,604,,2014-01-01,,,0000,0
fpas_terc_604_53,604,,2014-01-01,,,0001,"2,5"
fpas_terc_604_54,604,,2014-01-01,,,0002,"0,2"
fpas_terc_612,612,0;Nulo,2014-01-01,,,0000,0
fpas_terc_612_56,612,0;Nulo,2014-01-01,,,0001,"2,5"
fpas_terc_612_57,612,0;Nulo,2014-01-01,,,0002,"0,2"
fpas_terc_612_58,612,0;Nulo,2014-01-01,,,0064,"0,6"
fpas_terc_612_59,612,0;Nulo,2014-01-01,,,1024,"1,5"
fpas_terc_612_60,612,0;Nulo,2014-01-01,,,2048,"1,0"
