id,codigo,nome,dt_inicio,dt_fim
inc_irrf_0,0,Rendimento não tributável,2015-10-01,2021-06-30
inc_irrf_1,1,Rendimento não tributável em função de acordos internacionais de bitributação,2015-10-01,2021-06-30
inc_irrf_9,9,"Verba transitada pela folha de pagamento de natureza diversa de rendimento ou retenção/isenção/dedução de IR (exemplo: desconto de convênio farmácia, desconto de consignações, etc.)",2015-10-01,
inc_irrf_11,11,Remuneração mensal,2015-10-01,
inc_irrf_12,12,13º salário,2015-10-01,
inc_irrf_13,13,Férias,2015-10-01,
inc_irrf_14,14,PLR,2015-10-01,
inc_irrf_15,15,Rendimentos Recebidos Acumuladamente - RRA,2015-10-01,2021-06-30
inc_irrf_31,31,Remuneração mensal,2015-10-01,
inc_irrf_32,32,13º salário,2015-10-01,
inc_irrf_33,33,Férias,2015-10-01,
inc_irrf_34,34,PLR,2015-10-01,
inc_irrf_35,35,Rendimentos Recebidos Acumuladamente - RRA,2015-10-01,2021-06-30
inc_irrf_41,41,Previdência Social Oficial - PSO - Remuneração mensal,2015-10-01,
inc_irrf_42,42,PSO - 13º salário,2015-10-01,
inc_irrf_43,43,PSO - Férias,2015-10-01,
inc_irrf_44,44,PSO - RRA,2015-10-01,2021-06-30
inc_irrf_46,46,Previdência complementar - Salário mensal,2015-10-01,
inc_irrf_47,47,Previdência complementar - 13º salário,2015-10-01,
inc_irrf_48,48,Previdência complementar - Férias,2015-10-01,
inc_irrf_51,51,Pensão alimentícia - Remuneração mensal,2015-10-01,
inc_irrf_52,52,Pensão alimentícia - 13º salário,2015-10-01,
inc_irrf_53,53,Pensão alimentícia - Férias,2015-10-01,
inc_irrf_54,54,Pensão alimentícia - PLR,2015-10-01,
inc_irrf_55,55,Pensão alimentícia - RRA,2015-10-01,2021-06-30
inc_irrf_61,61,Fundo de Aposentadoria Programada Individual - FAPI - Remuneração mensal,2015-10-01,
inc_irrf_62,62,Fundo de Aposentadoria Programada Individual - FAPI - 13º salário,2015-10-01,
inc_irrf_63,63,Fundação de previdência complementar do servidor público - Remuneração mensal,2015-10-01,
inc_irrf_64,64,Fundação de previdência complementar do servidor público - 13º salário,2015-10-01,
inc_irrf_65,65,Fundação de previdência complementar do servidor público - Férias,2015-10-01,
inc_irrf_66,66,Fundo de Aposentadoria Programada Individual - FAPI - Férias,2015-10-01,
inc_irrf_67,67,Plano privado coletivo de assistência à saúde,2015-10-01,
inc_irrf_68,68,Desconto Simplificado Mensal,2023-05-01,
inc_irrf_70,70,Parcela isenta 65 anos - Remuneração mensal,2015-10-01,
