id,codigo,nome,dt_inicio,dt_fim
info_resc_esocial3000,eSocial3000,<<>> dias,2014-01-01,
info_resc_esocial1130,eSocial1130,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial1131,eSocial1131,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial1100,eSocial1100,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial1101,eSocial1101,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial1102,eSocial1102,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial1103,eSocial1103,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial1120,eSocial1120,<<>> horas a <<>> %,2014-01-01,
info_resc_esocial3020,eSocial3020,<<>> / 12 avos,2014-01-01,
info_resc_esocial1810,eSocial1810,Exerc. <<>> - <<>>/12 avos,2014-01-01,
info_resc_esocial3050,eSocial3050,<<>> / 12 avos,2014-01-01,
info_resc_esocial3060,eSocial3060,Per. Aquisitivo dd/mm/aaaa a dd/mm/aaaa,2014-01-01,
info_resc_esocial3040,eSocial3040,Per. Aquisitivo <<>> a <<>>,2014-01-01,
info_resc_esocial3030,eSocial3030,<<>> dias,2014-01-01,
info_resc_esocial5000,eSocial5000,<<>> dias,2014-01-01,
info_resc_esocial5060,eSocial5060,<<>> dias,2014-01-01,
info_resc_esocial5070,eSocial5070,<<>> dias,2014-01-01,
