id,codigo,nome,dt_inicio,dt_fim,cnpj
inst_emp_001,001,BANCO DO BRASIL S A,2014-01-01,,00000000000191
inst_emp_003,003,BANCO DA AMAZONIA S.A.,2014-01-01,2025-07-31,04902979000144
inst_emp_004,004,BANCO DO NORDESTE DO BRASIL SA  BNB,2014-01-01,,07237373000120
inst_emp_007,007,BNB BANCO DO NORDESTE DO BRASIL S A,2014-01-01,2025-07-31,33657248000189
inst_emp_012,012,BANCO INBURSA SA,2014-01-01,,04866275000163
inst_emp_021,021,BANCO DO ESTADO DO ESPIRITO SANTO,2014-01-01,,28127603000178
inst_emp_029,029,BANCO BANERJ S.A.,2014-01-01,2025-07-31,33885724000119
inst_emp_033,033,BANCO SANTANDER,2014-01-01,,90400888000142
inst_emp_041,041,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,2014-01-01,,92702067000196
inst_emp_047,047,BANCO DO ESTADO DE SERGIPE SA,2014-01-01,,13009717000146
inst_emp_063,063,BANCO IBI S.A.,2014-01-01,2025-07-31,04184779000101
inst_emp_069,069,BPN BRASIL BANCO MÚLTIPLO S.A.,2014-01-01,,61033106000186
inst_emp_070,070,BRB - BANCO DE BRASILIA S.A.,2014-01-01,2025-07-31,00000208000100
inst_emp_074,074,BANCO J. SAFRA S.A.,2014-01-01,2025-07-31,03017677000120
inst_emp_077,077,BANCO INTERMEDIUM S/A,2014-01-01,2025-07-31,00416968000101
inst_emp_079,079,PICPAY BANK,2014-01-01,,09516419000175
inst_emp_081,081,CONCÓRDIA BANCO S.A.,2014-01-01,,10264663000177
inst_emp_085,085,AILOS - COOPERATIVA CENTRAL DE CRÉDITO,2014-01-01,,05463212000129
inst_emp_088,088,RANDON,2025-10-01,,11476673000139
inst_emp_099,099,UNIPRIME,2014-01-01,,03046391000173
inst_emp_104,104,CAIXA ECONOMICA FEDERAL,2014-01-01,,00360305000104
inst_emp_105,105,LECCA,2025-10-01,,07652226000116
inst_emp_120,120,RODOBENS,2014-01-01,,33603457000140
inst_emp_121,121,BANCO AGIBANK SA,2014-01-01,,10664513000150
inst_emp_133,133,CRESOL,2025-11-01,,10398952000169
inst_emp_136,136,UNICRED,2014-01-01,,00315557000111
inst_emp_159,159,CASA DO CREDITO,2014-01-01,2025-07-31,05442029000147
inst_emp_174,174,PEFISA,2014-01-01,2025-07-31,43180355000112
inst_emp_189,189,HS Financeira,2014-01-01,2025-07-31,07512441000111
inst_emp_195,195,VALOR S/A,2014-01-01,,07799277000175
inst_emp_208,208,BTG PACTUAL S.A.,2014-01-01,,30306294000145
inst_emp_213,213,BANCO ARBI S A,2014-01-01,,54403563000150
inst_emp_233,233,BANCO GE CAPITAL S.A.,2014-01-01,2025-07-31,62421979000129
inst_emp_237,237,BANCO BRADESCO S A,2014-01-01,,60746948000112
inst_emp_243,243,BANCO MASTER S A,2014-01-01,2026-01-31,33923798000100
inst_emp_254,254,PARANA BANCO S A,2014-01-01,,14388334000199
inst_emp_274,274,BMP MONEY PLUS,2014-01-01,2025-07-31,34337707000100
