id,codigo,nome,dt_inicio,dt_fim,tp_inscr,nr_inscr,cd_valid,tx_class_trb
lot_trib_01,01,"Classificação da atividade econômica exercida pela Pessoa Jurídica para fins de atribuição de código FPAS, inclusive obras de construção civil própria, exceto: a) empreitada parcial ou sub-empreitada de obra de construção civil (utilizar opção 02); b) prestação de serviços em instalações de terceiros (utilizar opções 03 a 09); c) Embarcação inscrita no Registro Especial Brasileiro - REB (utilizar opção 10)",2014-01-01,,Não Preencher,Não Preencher,0,01;02;03;04;06;07;08;09;10;11;13;14;60;70;80;85;99
lot_trib_02,02,Obra de construção civil - Empreitada parcial ou subempreitada,2014-01-01,,4,CNO da Obra - A informação do CNPJ/CPF do contratante é prestada no grupo {infoEmprParcial},0,01;02;03;04;06;07;08;09;10;11;13;14;60;70;80;85;99
lot_trib_03,03,"Pessoa Física tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa",2014-01-01,,2,CPF do contratante,0,01;02;03;06;80;99
lot_trib_04,04,"Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991",2014-01-01,,1,CNPJ do estabelecimento contratante,0,01;02;03;06;70;80;99
lot_trib_05,05,"Pessoa Jurídica tomadora de serviços prestados por cooperados por intermédio de cooperativa de trabalho, exceto aqueles prestados a entidade beneficente/isenta",2014-01-01,,1,CNPJ do estabelecimento contratante,0,01;02;03;06;07;10;14;70;80;85;99
lot_trib_06,06,Entidade beneficente/isenta tomadora de serviços prestados por cooperados por intermédio de cooperativa de trabalho,2014-01-01,,1,CNPJ do estabelecimento contratante,0,99
lot_trib_07,07,Pessoa Física tomadora de serviços prestados por cooperados por intermédio de cooperativa de trabalho,2014-01-01,,2,CPF do contratante,0,99
lot_trib_08,08,Operador portuário tomador de serviços de trabalhadores avulsos,2014-01-01,,1,CNPJ do operador portuário,3,09
lot_trib_09,09,Contratante de trabalhadores avulsos não portuários por intermédio de sindicato,2014-01-01,,1;2,CNPJ ou CPF do contratante,0,10
lot_trib_10,10,Embarcação inscrita no Registro Especial Brasileiro - REB,2014-01-01,,Não Preencher,Não Preencher,0,01;02;03;04;06;07;08;09;10;11;13;70;80;85;99
lot_trib_21,21,Classificação da atividade econômica ou obra própria de construção civil da Pessoa Física,2014-01-01,,Não Preencher,Não Preencher,0,21;22
lot_trib_24,24,Empregador doméstico,2014-01-01,,Não Preencher,Não Preencher,0,21;22
lot_trib_90,90,Atividades desenvolvidas no exterior por trabalhador vinculado ao Regime Geral de Previdência Social (expatriados),2014-01-01,,Não Preencher,Não Preencher,0,01;02;03;06;07;08;09;10;11;13;14;60;70;80;85;99
lot_trib_91,91,Atividades desenvolvidas por trabalhador estrangeiro vinculado a Regime de Previdência Social no exterior,2014-01-01,,Não Preencher,Não Preencher,0,01;02;03;06;07;08;09;10;11;13;14;60;70;80;85;99
lot_trib_92,92,Bolsista contribuinte individual sem contribuição patronal,2014-01-01,,Não Preencher,Não Preencher,0,01;02;03;04;06;07;09;10;11;13;14;60;70;80;85;99
