id,codigo,nome,dt_inicio,dt_fim,permite_alt_motivo,domestico,desc_resumida,suspende_sal_mensal,paga_sal_familia,gera_remuneracao,mei,segurado_especial,mpe,cod_categ_aplicavel
mot_afast_01,01,Acidente/doença do trabalho,2014-01-01,,03;06,S,Acidente/doença do trabalho,S,2,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_02,02,Novo afastamento decorrente do mesmo acidente/doença do trabalho dentro de 60 dias,2014-01-01,2016-12-31,06,S,Novo afast.pelo mesmo acidente/doença do trabalho,S,2,S,N,N,N,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_03,03,Acidente/doença não relacionada ao trabalho,2014-01-01,,01;06,S,Acidente/doença não relacionada ao trabalho,S,2,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_04,04,Novo afastamento decorrente do mesmo acidente/doença não relacionado ao trabalho dentro de 60 dias,2014-01-01,2016-12-31,06,S,Novo afast. mesmo acid/doença não rel. ao trabalho,S,2,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_05,05,"Afastamento/licença de servidor público ou militar prevista em estatuto, sem remuneração",2014-01-01,,,N,,,,,N,N,N,301;302;303;304;305;306;307;308;309;310;311;312;313;314;410
mot_afast_06,06,Aposentadoria por invalidez,2014-01-01,,,S,Aposentadoria por invalidez,S,2,N,S,S,S,101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
mot_afast_07,07,Acompanhamento - Licença para acompanhamento de membro da família enfermo,2014-01-01,,,N,,,,,S,N,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_08,08,"Afastamento do empregado para participar de atividade do Conselho Curador do FGTS - Art. 65, § 6º, do Decreto 99.684/1990 (Regulamento do FGTS)",2014-01-01,2021-07-18,,N,,,,,N,N,N,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_10,10,"Afastamento/licença de servidor público ou militar prevista em estatuto, com remuneração",2014-01-01,,,N,,,,,N,N,N,301;302;303;304;305;306;307;308;309;310;311;312;313;314;410
mot_afast_11,11,Cárcere,2014-01-01,,,S,Cárcere,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_12,12,"Cargo eletivo - Candidato a cargo eletivo - Art. 25, parágrafo único, da Lei 7.664/1988 - Celetistas em geral",2014-01-01,,,S,Candidato a cargo eletivo - Lei 7.664/1988,S,3,N,S,S,S,101;102;103;104;105;106;107;108;111
mot_afast_13,13,"Cargo eletivo - Candidato a cargo eletivo - Art. 1°, inciso II, alínea """"l"""", da Lei Complementar 64/1990 - Servidor público, estatutário ou não, dos órgãos ou entidades da Administração Direta ou Indireta da União, dos Estados, do Distrito Federal, dos Municípios e dos Territórios, inclusive das fundações mantidas pelo Poder Público",2014-01-01,,,N,,,,,N,N,N,101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
mot_afast_14,14,Cessão/Requisição,2014-01-01,2022-03-09,,N,,,,,N,N,N,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314
mot_afast_15,15,Gozo de férias ou recesso - Afastamento temporário para o gozo de férias ou recesso,2014-01-01,,,S,Férias ou Recesso,S,1,S,S,N,N,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_16,16,"Licença remunerada - Lei, liberalidade da empresa ou Acordo/Convenção Coletiva de Trabalho",2014-01-01,,,S,Licença remunerada,N,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
mot_afast_17,17,"Licença maternidade - 120 dias e suas prorrogações/antecipações, inclusive para o cônjuge sobrevivente",2014-01-01,2018-06-30,,S,Licença maternidade - 120 dias,S,1,S,S,S,S,101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
