id,codigo,nome,dt_inicio,dt_fim,gera_dae,categ_trab_aplicavel,gera_ind_cumprimento,desc_resumida,cod_categ_aplicavel,aplic_deslig_baixa_jud
mot_deslig_01,01,"Rescisão com justa causa, por iniciativa do empregador",2014-01-01,,1,,1,"Rescisão com justa causa, por iniciativa do empregador",101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_02,02,"Rescisão sem justa causa, por iniciativa do empregador",2014-01-01,,2,101;102;103;104;105;106,2,"Rescisão sem justa causa, por iniciativa do empregador",101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_03,03,Rescisão antecipada do contrato a termo por iniciativa do empregador,2014-01-01,,2,101;102;103;104;105;106,2,Rescisão antecipada do contrato a termo por iniciativa do empregador,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_04,04,Rescisão antecipada do contrato a termo por iniciativa do empregado,2014-01-01,,1,,1,Rescisão antecipada do contrato a termo por iniciativa do empregado,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_05,05,Rescisão por culpa recíproca,2014-01-01,,2,101;102;103;104;105;106,2,Rescisão por culpa recíproca,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_06,06,Rescisão por término do contrato a termo,2014-01-01,,2,101;102;103;104;105;106,1,Rescisão por término do contrato a termo,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_07,07,Rescisão do contrato de trabalho por iniciativa do empregado,2014-01-01,,1,,1,Rescisão do contrato de trabalho por iniciativa do empregado,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_08,08,"Rescisão do contrato de trabalho por interesse do(a) empregado(a), nas hipóteses previstas nos arts. 394 e 483, § 1º, da CLT",2014-01-01,,1,,1,"Rescisão por interesse do empregado, nas hipóteses previstas nos arts. 394 e 483, § 1º, da CLT",101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_09,09,Rescisão por opção do empregado em virtude de falecimento do empregador individual ou empregador doméstico,2014-01-01,,1,,1,Rescisão por opção do empregado em virtude de falecimento do empregador individual ou doméstico,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
mot_deslig_10,10,Rescisão por falecimento do empregado,2014-01-01,,1,,1,Rescisão por falecimento do empregado,101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314,S
