id,codigo,nome,dt_inicio,dt_fim
nat_lesao_702000000,702000000,Lesão imediata,2014-01-01,
nat_lesao_702005000,702005000,"Escoriação, abrasão (ferimento superficial)",2014-01-01,
nat_lesao_702010000,702010000,"Corte, laceração, ferida contusa, punctura (ferida aberta)",2014-01-01,
nat_lesao_702015000,702015000,"Contusão, esmagamento (superfície cutânea intacta)",2014-01-01,
nat_lesao_702020000,702020000,"Distensão, torção",2014-01-01,
nat_lesao_702025000,702025000,"Inflamação de articulação, tendão ou músculo (inclui sinovite, tenossionovite, etc.; não inclui distensão, torção ou suas consequências)",2014-01-01,
nat_lesao_702030000,702030000,Luxação,2014-01-01,
nat_lesao_702035000,702035000,Fratura,2014-01-01,
nat_lesao_702040000,702040000,"Queimadura ou escaldadura - efeito de temperatura elevada ou efeito do contato com substância quente (inclui queimadura por eletricidade, mas não inclui choque elétrico; não inclui queimadura por substância química, efeito de radiação, queimadura de sol, incapacidade sistêmica como intermação, queimadura por atrito, etc.)",2014-01-01,
nat_lesao_702042000,702042000,"Queimadura química (lesão de tecido provocada pela ação corrosiva de produto químico, suas emanações, etc.)",2014-01-01,
nat_lesao_702045000,702045000,"Efeito de radiação (imediato) - queimadura de sol e toda forma de lesão de tecido, osso ou fluido orgânico, por exposição à radiação",2014-01-01,
nat_lesao_702048000,702048000,"Congelamento, geladura e outros efeitos da exposição à baixa temperatura",2014-01-01,
nat_lesao_702050000,702050000,"Asfixia, estrangulamento, afogamento",2014-01-01,
nat_lesao_702055000,702055000,"Intermação, insolação, cãibra, exaustão e outros efeitos da temperatura ambiente elevada (não inclui queimadura de sol ou outros efeitos de radiação)",2014-01-01,
nat_lesao_702060000,702060000,Choque elétrico e eletroplessão (eletrocussão),2014-01-01,
nat_lesao_702065000,702065000,"Hérnia de qualquer natureza, ruptura",2014-01-01,
nat_lesao_702070000,702070000,Amputação ou enucleação,2014-01-01,
nat_lesao_702075000,702075000,"Perda ou diminuição de sentido (audição, visão, olfato, paladar e tato, desde que não seja sequela de outra lesão)",2014-01-01,
nat_lesao_702080000,702080000,Concussão cerebral,2014-01-01,
nat_lesao_702090000,702090000,"Lesão imediata, NIC",2014-01-01,
nat_lesao_704020000,704020000,"Doença contagiosa ou infecciosa (tuberculose, brucelose, etc.)",2014-01-01,
nat_lesao_704030000,704030000,"Pneumoconiose (silicose, asbestose, etc.)",2014-01-01,
nat_lesao_704040000,704040000,"Dermatose (erupção, inflamação da pele, inclusive furúnculo, etc.) - geralmente provocada pelo contato direto com substâncias ou agentes sensibilizantes ou irritantes, tais como medicamentos, óleos, agentes biológicos, plantas, madeiras ou metais (não inclui lesão provocada pela ação corrosiva de produtos químicos, queimadura por contato com substâncias quentes, efeito de exposição à radiação, efeito de exposição a baixas temperaturas ou inflamação ou irritação causada por fricção ou impacto)",2014-01-01,
nat_lesao_704050000,704050000,"Envenenamento sistêmico - condição mórbida sistêmica provocada por inalação, ingestão ou absorção cutânea de substância tóxica, que afete o metabolismo, o funcionamento do sistema nervoso, do aparelho circulatório, do aparelho digestivo, do aparelho respiratório, dos órgãos de excreção, do sistema musculoesquelético, etc. (inclui ação de produto químico, medicamento, metal ou peçonha; não inclui efeito de radiação, pneumoconiose, efeito corrosivo de produto químico, irritação cutânea, septicemia ou caso de ferida infectada)",2014-01-01,
nat_lesao_704060000,704060000,"Perda ou diminuição mediatas de sentido (audição, visão, olfato, paladar e tato, desde que não seja sequela de outra lesão)",2014-01-01,
nat_lesao_704070000,704070000,"Efeito de radiação (mediato) - queimadura do sol e toda forma de lesão de tecido, osso, ou fluido orgânico por exposição à radiação.",2014-01-01,
nat_lesao_704090000,704090000,"Doença, NIC",2014-01-01,
nat_lesao_706050000,706050000,Lesões múltiplas,2014-01-01,
nat_lesao_706090000,706090000,"Outras lesões, NIC",2014-01-01,
