id,codigo,nome,active
l10n_br_esocial.nat_rubr_1000,1000,"Salário, vencimento, soldo",True
l10n_br_esocial.nat_rubr_1001,1001,"Subsídio",True
l10n_br_esocial.nat_rubr_1002,1002,"Descanso semanal remunerado - DSR",True
l10n_br_esocial.nat_rubr_1003,1003,"Horas extraordinárias",True
l10n_br_esocial.nat_rubr_1004,1004,"Horas extraordinárias - Banco de horas",True
l10n_br_esocial.nat_rubr_1005,1005,"Direito de arena",True
l10n_br_esocial.nat_rubr_1006,1006,"Intervalos intra e inter jornadas não concedidos",True
l10n_br_esocial.nat_rubr_1007,1007,"Luvas e premiações",True
l10n_br_esocial.nat_rubr_1009,1009,"Salário-família - Complemento",True
l10n_br_esocial.nat_rubr_1010,1010,"Salário in natura - Pagos em bens ou serviços",True
l10n_br_esocial.nat_rubr_1011,1011,"Sobreaviso e prontidão",True
l10n_br_esocial.nat_rubr_1012,1012,"Descanso semanal remunerado - DSR e feriado",True
l10n_br_esocial.nat_rubr_1015,1015,"Adiantamento de férias",True
l10n_br_esocial.nat_rubr_1016,1016,"Férias",True
l10n_br_esocial.nat_rubr_1017,1017,"Terço constitucional de férias",True
l10n_br_esocial.nat_rubr_1018,1018,"Férias - Abono ou gratificação de férias superior a 20 dias",True
l10n_br_esocial.nat_rubr_1019,1019,"Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias",True
l10n_br_esocial.nat_rubr_1020,1020,"Férias",False
l10n_br_esocial.nat_rubr_1021,1021,"Férias - Abono ou gratificação de férias superior a 20 dias",False
l10n_br_esocial.nat_rubr_1022,1022,"Férias - Abono ou gratificação de férias não excedente a 20 dias",True
l10n_br_esocial.nat_rubr_1023,1023,"Férias - Abono pecuniário",True
l10n_br_esocial.nat_rubr_1024,1024,"Férias - Dobro na vigência do contrato",True
l10n_br_esocial.nat_rubr_1040,1040,"Licença-prêmio",True
l10n_br_esocial.nat_rubr_1041,1041,"Licença-prêmio indenizada",True
l10n_br_esocial.nat_rubr_1050,1050,"Remuneração de dias de afastamento",True
l10n_br_esocial.nat_rubr_1080,1080,"Stock option",True
l10n_br_esocial.nat_rubr_1099,1099,"Outras verbas salariais",True
l10n_br_esocial.nat_rubr_1201,1201,"Adicional de função / cargo confiança",True
l10n_br_esocial.nat_rubr_1202,1202,"Adicional de insalubridade",True
l10n_br_esocial.nat_rubr_1203,1203,"Adicional de periculosidade",True
l10n_br_esocial.nat_rubr_1204,1204,"Adicional de transferência",True
l10n_br_esocial.nat_rubr_1205,1205,"Adicional noturno",True
l10n_br_esocial.nat_rubr_1206,1206,"Adicional por tempo de serviço",True
l10n_br_esocial.nat_rubr_1207,1207,"Comissões, porcentagens, produção",True
l10n_br_esocial.nat_rubr_1208,1208,"Gueltas ou gorjetas - Repassadas por fornecedores ou clientes",True
l10n_br_esocial.nat_rubr_1209,1209,"Gueltas ou gorjetas - Repassadas pelo empregador",True
l10n_br_esocial.nat_rubr_1210,1210,"Gratificação por acordo ou convenção coletiva",True
l10n_br_esocial.nat_rubr_1211,1211,"Gratificações",True
