id,codigo,nome,dt_inicio,dt_fim
pais_008,008,Abu Dhabi,1900-01-01,1996-12-13
pais_009,009,Dirce,1900-01-01,1996-12-13
pais_013,013,Afeganistão,1900-01-01,
pais_015,015,"Aland, Ilhas",2015-12-07,2023-01-15
pais_017,017,"Albania, República da",1900-01-01,
pais_020,020,"Alboran-Perejil, Ilhas",1900-01-01,1996-12-13
pais_023,023,Alemanha,1900-01-01,
pais_025,025,"Alemanha, República Democrática",1900-01-01,1996-12-13
pais_031,031,Burkina Faso,1900-01-01,
pais_037,037,Andorra,1900-01-01,
pais_040,040,Angola,1900-01-01,
pais_041,041,Anguilla,1900-01-01,
pais_042,042,Antártica,1900-01-01,2023-01-15
pais_043,043,Antígua e Barbuda,1900-01-01,
pais_047,047,Antilhas Holandesas,1900-01-01,2018-04-30
pais_053,053,Arábia Saudita,1900-01-01,
pais_059,059,Argélia,1900-01-01,
pais_063,063,Argentina,1900-01-01,
pais_064,064,"Armênia, República da",1900-01-01,
pais_065,065,Aruba,1900-01-01,
pais_069,069,Austrália,1900-01-01,
pais_072,072,Áustria,1900-01-01,
pais_073,073,"Azerbaijão, República do",1900-01-01,
pais_077,077,"Bahamas, Ilhas",1900-01-01,
pais_080,080,"Bahrein, Ilhas",1900-01-01,
pais_081,081,Bangladesh,1900-01-01,
pais_083,083,Barbados,1900-01-01,
pais_085,085,"Belarus, República da",1900-01-01,
pais_087,087,Bélgica,1900-01-01,
pais_088,088,Belize,1900-01-01,
pais_090,090,Bermudas,1900-01-01,
pais_093,093,Mianmar (Birmânia),1900-01-01,
pais_097,097,"Bolívia, Estado Plurinacional da",1900-01-01,
pais_098,098,"Bósnia-Herzegovina, República da",1900-01-01,
pais_099,099,"Bonaire, Saint Eustatius e Saba",2015-12-07,
pais_100,100,Int. Z. F. Manaus,1991-12-01,1996-12-13
pais_101,101,Botsuana,1900-01-01,
pais_102,102,"Bouvet, Ilha",2015-12-07,
pais_105,105,Brasil,1900-01-01,
pais_106,106,Fretado p/ Brasil,1991-12-01,1996-11-14
pais_108,108,Brunei,1900-01-01,
pais_111,111,"Bulgária, República da",1900-01-01,
pais_115,115,Burundi,1900-01-01,
pais_119,119,Butão,1900-01-01,
pais_127,127,"Cabo Verde, República de",1900-01-01,
pais_131,131,Cachemira,1900-01-01,1996-12-13
pais_137,137,"Cayman, Ilhas",1900-01-01,
pais_141,141,Camboja,1900-01-01,
pais_145,145,Camarões,1900-01-01,
pais_149,149,Canadá,1900-01-01,
pais_150,150,Ilhas do Canal (Jersey e Guernsey),1900-01-01,2018-04-30
pais_151,151,"Canárias, Ilhas",1900-01-01,2018-04-30
pais_152,152,"Canal, Ilhas",1900-01-01,1996-12-13
pais_153,153,"Cazaquistão, República do",1900-01-01,
pais_154,154,Catar,1900-01-01,
pais_158,158,Chile,1900-01-01,
pais_160,160,"China, República Popular",1900-01-01,
pais_161,161,Formosa (Taiwan),1900-01-01,
pais_163,163,Chipre,1900-01-01,
pais_165,165,"Cocos (Keeling), Ilhas",1900-01-01,
pais_169,169,Colômbia,1900-01-01,
pais_173,173,"Comores, Ilhas",1900-01-01,
pais_177,177,Congo,1900-01-01,
pais_183,183,"Cook, Ilhas",1900-01-01,
pais_187,187,"Coreia (do Norte), República Popular Democrática da",1900-01-01,
pais_190,190,"Coreia (do Sul), República da",1900-01-01,
pais_193,193,Costa do Marfim,1900-01-01,
pais_195,195,"Croácia, República da",1900-01-01,
pais_196,196,Costa Rica,1900-01-01,
pais_198,198,Kuwait,1900-01-01,
pais_199,199,Cuba,1900-01-01,
pais_200,200,Curaçao,2015-12-07,
pais_229,229,Benin,1900-01-01,
pais_232,232,Dinamarca,1900-01-01,
pais_235,235,"Dominica, Ilha",1900-01-01,
pais_237,237,Dubai,1900-01-01,1996-12-13
pais_239,239,Equador,1900-01-01,
pais_240,240,Egito,1900-01-01,
pais_243,243,Eritreia,2006-07-17,
pais_244,244,Emirados Árabes Unidos,1900-01-01,
pais_245,245,Espanha,1900-01-01,
pais_246,246,"Eslovênia, República da",1900-01-01,
pais_247,247,"Eslovaca, República",1900-01-01,
pais_249,249,Estados Unidos,1900-01-01,
