id,codigo,nome,dt_inicio,dt_fim
parte_corpo_753030000,753030000,Crânio (inclusive encéfalo),2014-01-01,
parte_corpo_753050000,753050000,"Ouvido (externo, médio, interno, audição e equilíbrio)",2014-01-01,
parte_corpo_753070100,753070100,Olho (inclusive nervo ótico e visão),2014-01-01,
parte_corpo_753070300,753070300,"Nariz (inclusive fossas nasais, seios da face e olfato)",2014-01-01,
parte_corpo_753070500,753070500,"Boca (inclusive lábios, dentes, língua, garganta e paladar)",2014-01-01,
parte_corpo_753070700,753070700,Mandíbula (inclusive queixo),2014-01-01,
parte_corpo_753070800,753070800,"Face, partes múltiplas (qualquer combinação das partes acima)",2014-01-01,
parte_corpo_753080000,753080000,"Cabeça, partes múltiplas (qualquer combinação das partes acima)",2014-01-01,
parte_corpo_753090000,753090000,"Cabeça, NIC",2014-01-01,
parte_corpo_753510000,753510000,Braço (entre o punho e o ombro),2014-01-01,
parte_corpo_753510200,753510200,Braço (acima do cotovelo),2014-01-01,
parte_corpo_754000000,754000000,Pescoço,2014-01-01,
parte_corpo_755010400,755010400,Cotovelo,2014-01-01,
parte_corpo_755010600,755010600,Antebraço (entre o punho e o cotovelo),2014-01-01,
parte_corpo_755030000,755030000,Punho,2014-01-01,
parte_corpo_755050000,755050000,Mão (exceto punho ou dedos),2014-01-01,
parte_corpo_755070000,755070000,Dedo,2014-01-01,
parte_corpo_755080000,755080000,"Membros superiores, partes múltiplas (qualquer combinação das partes acima)",2014-01-01,
parte_corpo_755090000,755090000,"Membros superiores, NIC",2014-01-01,
parte_corpo_756020000,756020000,Ombro,2014-01-01,
parte_corpo_756030000,756030000,Tórax (inclusive órgãos internos),2014-01-01,
parte_corpo_756040000,756040000,"Dorso (inclusive músculos dorsais, coluna e medula espinhal)",2014-01-01,
parte_corpo_756050000,756050000,Abdome (inclusive órgãos internos),2014-01-01,
parte_corpo_756060000,756060000,"Quadris (inclusive pélvis, órgãos pélvicos e nádegas)",2014-01-01,
parte_corpo_756070000,756070000,"Tronco, partes múltiplas (qualquer combinação das partes acima)",2014-01-01,
parte_corpo_756090000,756090000,"Tronco, NIC",2014-01-01,
parte_corpo_757010000,757010000,Perna (entre o tornozelo e a pélvis),2014-01-01,
parte_corpo_757010200,757010200,Coxa,2014-01-01,
parte_corpo_757010400,757010400,Joelho,2014-01-01,
parte_corpo_757010600,757010600,"Perna (do tornozelo, exclusive, ao joelho, exclusive)",2014-01-01,
parte_corpo_757030000,757030000,Articulação do tornozelo,2014-01-01,
parte_corpo_757050000,757050000,Pé (exceto artelhos),2014-01-01,
parte_corpo_757070000,757070000,Artelho,2014-01-01,
parte_corpo_757080000,757080000,"Membros inferiores, partes múltiplas (qualquer combinação das partes acima)",2014-01-01,
parte_corpo_757090000,757090000,"Membros inferiores, NIC",2014-01-01,
parte_corpo_758000000,758000000,"Partes múltiplas (aplica-se quando mais de uma parte importante do corpo for afetada, como, por exemplo, um braço e uma perna)",2014-01-01,
parte_corpo_758500000,758500000,"Sistemas e aparelhos (aplica-se quando o funcionamento de todo um sistema ou aparelho do corpo humano for afetado, sem lesão específica de qualquer outra parte, como no caso do envenenamento, ação corrosiva que afete órgãos internos, lesão dos centros nervosos, etc.; não se aplica quando a lesão sistêmica for provocada por lesão externa, como lesão dorsal que afete nervos da medula espinhal)",2014-01-01,
parte_corpo_758520000,758520000,Aparelho circulatório,2014-01-01,
parte_corpo_758530000,758530000,Aparelho respiratório,2014-01-01,
parte_corpo_758540000,758540000,Sistema nervoso,2014-01-01,
parte_corpo_758550000,758550000,Aparelho digestivo,2014-01-01,
parte_corpo_758560000,758560000,Aparelho gênito-urinário,2014-01-01,
parte_corpo_758570000,758570000,Sistema musculoesquelético,2014-01-01,
parte_corpo_758590000,758590000,"Sistemas e aparelhos, NIC",2014-01-01,
parte_corpo_759000000,759000000,"Localização da lesão, NIC",2014-01-01,
