id,codigo,nome,dt_inicio,dt_fim
proc_diag_0001,0001,"1,1-dicloro-2,2-bis (P-clorofeniletileno)",2014-01-01,
proc_diag_0002,0002,"1,1,1-tricloroetano",2014-01-01,
proc_diag_0003,0003,"1,2 dihidroxi-4-(N-acetilcisteinil)-butano",2014-01-01,
proc_diag_0004,0004,"1,25-dihidroxi vitamina D",2014-01-01,
proc_diag_0005,0005,"1,2-ciclo-hexanediol",2014-01-01,
proc_diag_0006,0006,"1,2-dibromo-3-cloropropano",2014-01-01,
proc_diag_0007,0007,"1,2-diclorobenzeno",2014-01-01,
proc_diag_0008,0008,"1,2-gliceril dinitrato",2014-01-01,
proc_diag_0009,0009,"1,3-gliceril dinitrato",2014-01-01,
proc_diag_0010,0010,"1,5-diaminonaftaleno",2014-01-01,
proc_diag_1398,1398,11-desoxicorticosterona,2014-01-01,
proc_diag_1399,1399,17-alfa-hidroxiprogesterona,2014-01-01,
proc_diag_0011,0011,17-cetogênicos (17-CGS),2014-01-01,
proc_diag_0012,0012,17-cetosteroides,2014-01-01,
proc_diag_0013,0013,17-cetosteroides relação alfa/beta,2014-01-01,
proc_diag_0014,0014,17-cetosteroides totais (17-CTS),2014-01-01,
proc_diag_0015,0015,17-hidroxicorticosteroides (17-OHS),2014-01-01,
proc_diag_0016,0016,17-hidroxipregnenolona,2014-01-01,
proc_diag_0017,0017,1-etoxi-2-propanol,2014-01-01,
proc_diag_0018,0018,1-hidroxipireno,2014-01-01,
proc_diag_0019,0019,1-metoxi-2-propanol,2014-01-01,
proc_diag_0020,0020,1-naftol + 2-naftol,2014-01-01,
proc_diag_0021,0021,2-amino-4-nitrofenol,2014-01-01,
proc_diag_0022,0022,"2,2'-dicloro-4,4'metileno dianilina",2014-01-01,
proc_diag_0023,0023,"2,2-dimetil-1,3benzodioxol",2014-01-01,
proc_diag_0024,0024,"2,4-dinitroaminotolueno",2014-01-01,
proc_diag_0025,0025,"2,4-hidroxibifenil",2014-01-01,
proc_diag_0026,0026,"2,5-diclorofenol",2014-01-01,
proc_diag_0027,0027,"2,5-heptanediona",2014-01-01,
proc_diag_0028,0028,"2,5-hexanediona + 4,5-dihidroxi-2-hexanona",2014-01-01,
proc_diag_0029,0029,"2,5-hexanodiona urinária",2014-01-01,
proc_diag_0030,0030,"2,6-dinitroaminotolueno",2014-01-01,
proc_diag_0031,0031,2-butanona,2014-01-01,
proc_diag_0032,0032,"2-dimetilamino-4-hidroxi-5,6-dimetilpirimidina",2014-01-01,
proc_diag_0033,0033,"2-etil, 5-hidroxi-hexil-ftalato",2014-01-01,
proc_diag_0034,0034,2-etil-5-oxi-hexil-ftalato,2014-01-01,
proc_diag_0035,0035,2-etilfenol,2014-01-01,
proc_diag_0036,0036,2-fenil 2-propanol,2014-01-01,
proc_diag_0037,0037,2-isopropoxifenol,2014-01-01,
proc_diag_0038,0038,"2-metilamino-4-hidroxi-5,6-dimetilpirimidina",2014-01-01,
proc_diag_0039,0039,2-metilpentano sanguíneo,2014-01-01,
proc_diag_0040,0040,2-naftilamina,2014-01-01,
proc_diag_0041,0041,"3,4-diclorocatecol",2014-01-01,
proc_diag_0042,0042,3-alfa androstanediol glucoronídeo (3-ALFADIOL),2014-01-01,
proc_diag_0043,0043,3-hidroxibenzopireno,2014-01-01,
proc_diag_0044,0044,3-hidroxicarbofurano urinário,2014-01-01,
proc_diag_0045,0045,3-metil histidina,2014-01-01,
proc_diag_0046,0046,3-metil pentano sanguíneo,2014-01-01,
proc_diag_0047,0047,"4,4-diaminodiciclohexil metano (DDHM)",2014-01-01,
proc_diag_0049,0049,"4,4-diaminodifenilmetano",2014-01-01,
proc_diag_0050,0050,"4,4'-metileno bis-2-cloroanilina (MbOCA)",2014-01-01,
proc_diag_0048,0048,"4,4'-metilenodianilina (MDA)",2014-01-01,
proc_diag_0051,0051,"4,5-diclorocatecol",2014-01-01,
proc_diag_0052,0052,"4,6-dinitro-o-cresol (DNOC) sanguíneo",2014-01-01,
proc_diag_0053,0053,"4-amino-2,6-dinitrotolueno",2014-01-01,
proc_diag_0054,0054,4-amino-2-nitrofenol,2014-01-01,
proc_diag_0055,0055,4-amino-bifenil,2014-01-01,
proc_diag_0056,0056,4-clorocatecol,2014-01-01,
proc_diag_0057,0057,4-cloro-o-toluidina (derivados),2014-01-01,
proc_diag_0058,0058,4-etilfenol,2014-01-01,
proc_diag_0059,0059,4-metilpentan-2-ona,2014-01-01,
proc_diag_0060,0060,"5,6-dimetil-2-(metilamino)pirimidin-4-ol",2014-01-01,
proc_diag_0061,0061,5-hidroximetil-pirrolidona,2014-01-01,
proc_diag_0062,0062,5-hydroxi-N-metilpirrolidona,2014-01-01,
proc_diag_0063,0063,5-nucleotidase,2014-01-01,
proc_diag_0064,0064,Aberrações cromossômicas (pesquisa),2014-01-01,
proc_diag_0065,0065,Absidia (pesquisa),2014-01-01,
proc_diag_0066,0066,Acanthamoeba (pesquisa),2014-01-01,
proc_diag_0067,0067,Acetaminofen,2014-01-01,
proc_diag_0068,0068,Acetilcolinesterase eritrocitária,2014-01-01,
proc_diag_0069,0069,Acetilcolinesterase plasmática,2014-01-01,
proc_diag_0070,0070,Acetona sanguínea,2014-01-01,
proc_diag_0071,0071,Acetona urinária,2014-01-01,
proc_diag_0072,0072,Acidez titulável na urina,2014-01-01,
proc_diag_0074,0074,"Ácido 2,4,5-triclorofenoxiacético (2,4,5-T) urinário",2014-01-01,
proc_diag_0075,0075,"Ácido 2,4-diclorofenoxiacético (2,4-D) urinário",2014-01-01,
proc_diag_0073,0073,"Ácido 2,4-dinitrobenzoico",2014-01-01,
proc_diag_0076,0076,Ácido 2-hidroxi-3-butenil mercaptúrico,2014-01-01,
proc_diag_0077,0077,Ácido 2-hidroxipropil mercaptúrico,2014-01-01,
proc_diag_0078,0078,Ácido 2-tiotiazolidina,2014-01-01,
proc_diag_0079,0079,Ácido 2-tiotiazolidina-4-carboxílico (TTCA),2014-01-01,
proc_diag_0080,0080,"Ácido 3,4-dihidroxibutil mercaptúrico",2014-01-01,
proc_diag_0081,0081,Ácido 3-fenoxibenzoico,2014-01-01,
proc_diag_0082,0082,Ácido 3-hidroxipropil mercaptúrico,2014-01-01,
proc_diag_0083,0083,Ácido 4-cloro-2-metilfenoxiacético (MCPA) urinário,2014-01-01,
proc_diag_0084,0084,Ácido 4-fluoro-3-fenoxibenzoico,2014-01-01,
proc_diag_0085,0085,Ácido 5 hidróxi-indolacético,2014-01-01,
proc_diag_0086,0086,Ácido acético,2014-01-01,
proc_diag_0087,0087,Ácido ascórbico (vitamina C),2014-01-01,
proc_diag_0088,0088,Ácido beta hidroxi-butírico,2014-01-01,
proc_diag_0089,0089,Ácido butoxi-acético,2014-01-01,
proc_diag_0090,0090,Ácido cacodílico,2014-01-01,
proc_diag_0091,0091,"Ácido cis- 3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxilico",2014-01-01,
proc_diag_0092,0092,"Ácido cis-3-(2,2-dibromovinil)-2,2-dimetilciclopropanocarboxilico",2014-01-01,
proc_diag_0093,0093,Ácido cítrico na urina,2014-01-01,
proc_diag_0094,0094,Ácido dehidroabiético,2014-01-01,
proc_diag_0095,0095,Ácido delta aminolevulínico (ALA-U),2014-01-01,
proc_diag_0096,0096,Ácido delta aminolevulínico desidratase (ALA-D),2014-01-01,
proc_diag_0097,0097,Ácido d-glucárico,2014-01-01,
proc_diag_0098,0098,Ácido dimetilarsínico,2014-01-01,
proc_diag_0099,0099,Ácido dimetilbenzoico,2014-01-01,
proc_diag_0100,0100,Ácido etoxiacético,2014-01-01,
proc_diag_0101,0101,Ácido fenilfosfórico urinário,2014-01-01,
proc_diag_0102,0102,Ácido fenilglioxílico,2014-01-01,
proc_diag_0103,0103,Ácido fenil-mercaptúrico,2014-01-01,
proc_diag_0104,0104,Ácido fólico eritrocitário,2014-01-01,
proc_diag_0105,0105,Ácido fórmico,2014-01-01,
proc_diag_0106,0106,Ácido furoico,2014-01-01,
proc_diag_0107,0107,Ácido glioxílico,2014-01-01,
proc_diag_0108,0108,Ácido hidroxietil-mercaptúrico,2014-01-01,
proc_diag_0109,0109,Ácido hipúrico,2014-01-01,
proc_diag_0110,0110,Ácido homo vanílico,2014-01-01,
proc_diag_0111,0111,Ácido homogentísico urinário,2014-01-01,
proc_diag_0112,0112,Ácido láctico (lactato),2014-01-01,
proc_diag_0113,0113,Ácido mandélico,2014-01-01,
proc_diag_0114,0114,Ácido mercaptúrico acrilamida,2014-01-01,
