id,processo,nr_inscricao,dt_inicio,dt_fim
proc_fap_1711010023366011,1711010023366011,82643255000560,2018-01-01,
proc_fap_1711010023367011,1711010023367011,95828968000117,2018-01-01,
proc_fap_1711010023368011,1711010023368011,01911426000160,2018-01-01,
proc_fap_1711010023369011,1711010023369011,09258807000284,2018-01-01,
proc_fap_1711010023370011,1711010023370011,87788931000184,2018-01-01,
proc_fap_1711010023372011,1711010023372011,67562884000149,2018-01-01,
proc_fap_1711010023373011,1711010023373011,94354271000199,2018-01-01,
proc_fap_1711010023374011,1711010023374011,31199466000191,2018-01-01,
proc_fap_1711010023375011,1711010023375011,02433691000142,2018-01-01,
proc_fap_1711010023376011,1711010023376011,84433945000278,2018-01-01,
proc_fap_1711010023365021,1711010023365021,03018339000103,2018-01-01,
proc_fap_1711010023377011,1711010023377011,08723856000105,2018-01-01,
proc_fap_1711010023378011,1711010023378011,05140162000149,2018-01-01,
proc_fap_1711010023379011,1711010023379011,73289050000104,2018-01-01,
proc_fap_1711010023380011,1711010023380011,00183110000136,2018-01-01,
proc_fap_1711010023381011,1711010023381011,10852802000264,2018-01-01,
proc_fap_1711010023382011,1711010023382011,04878284000174,2018-01-01,
proc_fap_1711010023383011,1711010023383011,03968404000161,2018-01-01,
proc_fap_1711010023384011,1711010023384011,02308873000868,2018-01-01,
proc_fap_1711010023385011,1711010023385011,57077026000155,2018-01-01,
proc_fap_1711010023386011,1711010023386011,96832076000152,2018-01-01,
proc_fap_1711010023387011,1711010023387011,35029057000106,2018-01-01,
proc_fap_1711010023388011,1711010023388011,61130191000109,2018-01-01,
proc_fap_1711010023389011,1711010023389011,59280685000110,2018-01-01,
proc_fap_1711010023390011,1711010023390011,83883306001566,2018-01-01,
proc_fap_1711010023391021,1711010023391021,34274233006569,2018-01-01,
proc_fap_1711010023392011,1711010023392011,77934313002608,2018-01-01,
proc_fap_1711010023393011,1711010023393011,34274233036042,2018-01-01,
proc_fap_1711010023394011,1711010023394011,46009718000140,2018-01-01,
proc_fap_1711010023397011,1711010023397011,34274233005910,2018-01-01,
proc_fap_1711010023398011,1711010023398011,09427205000122,2018-01-01,
proc_fap_1711010023399011,1711010023399011,75109074000160,2018-01-01,
proc_fap_1711010023402011,1711010023402011,83108712001551,2018-01-01,
proc_fap_1711010023404011,1711010023404011,83108712002604,2018-01-01,
proc_fap_1711010023405011,1711010023405011,84429737000386,2018-01-01,
proc_fap_1711010023406011,1711010023406011,00348003004299,2018-01-01,
proc_fap_1711010023408011,1711010023408011,86186509000196,2018-01-01,
proc_fap_1711010023409011,1711010023409011,07731248000171,2018-01-01,
proc_fap_1711010023410011,1711010023410011,03798336000482,2018-01-01,
proc_fap_1711010023411011,1711010023411011,07731253000184,2018-01-01,
proc_fap_1711010023413011,1711010023413011,05831339000153,2018-01-01,
proc_fap_1711010023414011,1711010023414011,62465117000106,2018-01-01,
proc_fap_1711010023416011,1711010023416011,43728245000142,2018-01-01,
proc_fap_1711010023418011,1711010023418011,43300581000190,2018-01-01,
proc_fap_1711020023419011,1711020023419011,82740903000335,2018-01-01,
proc_fap_1711020023420011,1711020023420011,85307098000187,2018-01-01,
proc_fap_1711010023371031,1711010023371031,05268526000766,2018-01-01,
proc_fap_1711010023421021,1711010023421021,06553614000187,2018-01-01,
proc_fap_1711030023422011,1711030023422011,07681924000140,2018-01-01,
proc_fap_1711030023423011,1711030023423011,07450778000141,2018-01-01,
proc_fap_1711010023424011,1711010023424011,71385637000353,2018-01-01,
proc_fap_1711010023425011,1711010023425011,71385637000434,2018-01-01,
proc_fap_1711030023426011,1711030023426011,47254545000198,2018-01-01,
proc_fap_1711010023427011,1711010023427011,71385637000515,2018-01-01,
proc_fap_1711010023428011,1711010023428011,71385637000787,2018-01-01,
proc_fap_1711010023429011,1711010023429011,71385637000272,2018-01-01,
proc_fap_1711030023430011,1711030023430011,67629253000108,2018-01-01,
proc_fap_1711010023431011,1711010023431011,07718633000260,2018-01-01,
proc_fap_1711010023432011,1711010023432011,07718633000189,2018-01-01,
proc_fap_1711030023433011,1711030023433011,07718633000340,2018-01-01,
proc_fap_1711030023434011,1711030023434011,07718633000421,2018-01-01,
proc_fap_1711030023435011,1711030023435011,07718633000502,2018-01-01,
proc_fap_1711030023436011,1711030023436011,77858611001414,2018-01-01,
proc_fap_1711030023437011,1711030023437011,07718633000693,2018-01-01,
proc_fap_1711030023438011,1711030023438011,07718633000774,2018-01-01,
proc_fap_1711030023439011,1711030023439011,17034086000176,2018-01-01,
proc_fap_1711030023440011,1711030023440011,07718633000855,2018-01-01,
proc_fap_1711030023441011,1711030023441011,15568217000250,2018-01-01,
proc_fap_1711030023442021,1711030023442021,07718633001070,2018-01-01,
proc_fap_1711030023443021,1711030023443021,07718633001150,2018-01-01,
proc_fap_1711030023444011,1711030023444011,12601233000129,2018-01-01,
proc_fap_1711030023445011,1711030023445011,07718633001312,2018-01-01,
proc_fap_1711030023446011,1711030023446011,62539994000419,2018-01-01,
proc_fap_1711030023447011,1711030023447011,07718633001401,2018-01-01,
proc_fap_1711030023448011,1711030023448011,48172464000292,2018-01-01,
proc_fap_1711030023449011,1711030023449011,02076111000107,2018-01-01,
proc_fap_1711030023450011,1711030023450011,07718633001584,2018-01-01,
proc_fap_1711030023451011,1711030023451011,88628805000125,2018-01-01,
proc_fap_1711030023452011,1711030023452011,02395462000180,2018-01-01,
proc_fap_1711030023454011,1711030023454011,78811395000108,2018-01-01,
proc_fap_1711030023455011,1711030023455011,61620753001247,2018-01-01,
proc_fap_1711030023456011,1711030023456011,04385585000166,2018-01-01,
proc_fap_1711030023457011,1711030023457011,58130782000244,2018-01-01,
proc_fap_1711030023453021,1711030023453021,52059268000526,2018-01-01,
proc_fap_1711030023459011,1711030023459011,07718633001665,2018-01-01,
proc_fap_1711060023460011,1711060023460011,07718633001746,2018-01-01,
proc_fap_1711060023461011,1711060023461011,07718633001827,2018-01-01,
proc_fap_1711060023462021,1711060023462021,07718633002122,2018-01-01,
proc_fap_1711060023463011,1711060023463011,07718633002203,2018-01-01,
proc_fap_1711060023464011,1711060023464011,07718633002556,2018-01-01,
proc_fap_1711060023466011,1711060023466011,33438250001139,2018-01-01,
proc_fap_1711060023467011,1711060023467011,10265949000177,2018-01-01,
proc_fap_1711060023465031,1711060023465031,07718633002718,2018-01-01,
proc_fap_1711060023468011,1711060023468011,07718633002807,2018-01-01,
proc_fap_1711060023469011,1711060023469011,07718633002980,2018-01-01,
proc_fap_1711060023470011,1711060023470011,33438250001309,2018-01-01,
proc_fap_1711060023471011,1711060023471011,33438250002453,2018-01-01,
proc_fap_1711060023472011,1711060023472011,07718633003013,2018-01-01,
proc_fap_1711060023473011,1711060023473011,11592963000148,2018-01-01,
proc_fap_1711060023474011,1711060023474011,33438250003344,2018-01-01,
proc_fap_1711060023475011,1711060023475011,83647552000113,2018-01-01,
proc_fap_1711060023476011,1711060023476011,07718633003102,2018-01-01,
proc_fap_1711060023477011,1711060023477011,33438250009202,2018-01-01,
proc_fap_1711060023478011,1711060023478011,07718633003285,2018-01-01,
proc_fap_1711060023479011,1711060023479011,33438250014389,2018-01-01,
proc_fap_1711060023480011,1711060023480011,33438250016160,2018-01-01,
proc_fap_1711060023481011,1711060023481011,07718633003366,2018-01-01,
proc_fap_1711060023482011,1711060023482011,33438250017132,2018-01-01,
proc_fap_1711060023483011,1711060023483011,33438250017485,2018-01-01,
proc_fap_1711060023484011,1711060023484011,07718633003447,2018-01-01,
proc_fap_1711030023485011,1711030023485011,05266880000166,2018-01-01,
proc_fap_1711060023486011,1711060023486011,33438250024856,2018-01-01,
proc_fap_1711060023487011,1711060023487011,33438250027367,2018-01-01,
proc_fap_1711060023488011,1711060023488011,33438250028096,2018-01-01,
proc_fap_1711060023489011,1711060023489011,07718633003609,2018-01-01,
proc_fap_1711060023490011,1711060023490011,33438250028681,2018-01-01,
proc_fap_1711060023491011,1711060023491011,07718633003790,2018-01-01,
proc_fap_1711060023492011,1711060023492011,07718633003951,2018-01-01,
proc_fap_1711060023493011,1711060023493011,07718633004095,2018-01-01,
proc_fap_1711060023494011,1711060023494011,93561215000162,2018-01-01,
proc_fap_1711060023495011,1711060023495011,07718633004176,2018-01-01,
proc_fap_1711060023496011,1711060023496011,33438250033928,2018-01-01,
proc_fap_1711060023497011,1711060023497011,07718633004338,2018-01-01,
proc_fap_1711060023498011,1711060023498011,33438250034495,2018-01-01,
proc_fap_1711060023499011,1711060023499011,58126020000193,2018-01-01,
proc_fap_1711060023500011,1711060023500011,33438250036439,2018-01-01,
proc_fap_1711060023501011,1711060023501011,07718633004419,2018-01-01,
proc_fap_1711060023502011,1711060023502011,33438250047120,2018-01-01,
