id,codigo,nome,dt_inicio,dt_fim
receita_recl_113851,113851,CP patronal a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_164651,164651,CP GILRAT a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_114151,114151,CP para financiamento de aposentadoria especial a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_113852,113852,CP adicional a cargo das instituiçoes financeiras sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_113854,113854,CP patronal a cargo da empresa sobre a remuneração do segurado contribuinte individual,2014-01-01,
receita_recl_114155,114155,CP para financiamento de aposentadoria especial a cargo da empresa sobre a remuneração do segurado contribuinte individual,2014-01-01,
receita_recl_113855,113855,CP adicional a cargo das instituiçoes financeiras sobre a remuneração do segurado contribuinte individual,2014-01-01,
receita_recl_113858,113858,CP patronal a cargo do empregador doméstico sobre a remuneração do segurado empregado doméstico,2014-01-01,
receita_recl_164659,164659,CP GILRAT a cargo do empregador doméstico sobre a remuneração do segurado empregado doméstico,2014-01-01,
receita_recl_113857,113857,CP patronal a cargo do Microempreendedor - MEI sobre a remuneração do segurado empregado,2014-01-01,
receita_recl_113853,113853,CP patronal a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_164652,164652,CP GILRAT a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_114152,114152,CP adicional GILRAT a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_113856,113856,CP patronal a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado contribuinte individual,2014-01-01,
receita_recl_117051,117051,Salário-Educação a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_117651,117651,Incra a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_117652,117652,Incra (FPAS 531/795/825) a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_118151,118151,Senai a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_118451,118451,Sesi a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_119151,119151,Senac a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_119651,119651,Sesc a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_120051,120051,Sebrae a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_120052,120052,Sebrae (FPAS 566/574/647) a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_120551,120551,FDEPM a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_120951,120951,Fundo Aeroviário a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_121353,121353,Senar a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_121851,121851,Sest a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_121852,121852,Sest a cargo do trabalhador (descontado pela empresa) sobre a remuneração do segurado transportador autônomo,2014-01-01,
receita_recl_122151,122151,Senat a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_122152,122152,Senat a cargo do trabalhador (descontado pela empresa) sobre a remuneração do segurado transportador autônomo,2014-01-01,
receita_recl_122551,122551,Sescoop a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso,2014-01-01,
receita_recl_108251,108251,CP do segurado empregado e trabalhador avulso,2014-01-01,
receita_recl_108252,108252,CP do segurado empregado contratado por curto prazo - Lei 11.718/2009,2014-01-01,
receita_recl_108253,108253,CP do segurado empregado doméstico,2014-01-01,
receita_recl_108254,108254,CP do segurado empregado contratado por curto prazo por empregador segurado especial - Lei 11.718/2009,2014-01-01,
receita_recl_108255,108255,CP do segurado empregado contratado por empregador segurado especial,2014-01-01,
receita_recl_108257,108257,CP do segurado empregado contratado por empregador MEI,2014-01-01,
receita_recl_109951,109951,CP do segurado contribuinte individual - 11%,2014-01-01,
receita_recl_109952,109952,CP do segurado contribuinte individual - 20%,2014-01-01,
receita_recl_830104,830104,PIS - Folha de salários reclamatória trabalhista,2025-01-01,
