id,codigo,nome,dt_inicio,dt_fim
receita_tot_047301,047301,Renda e Proventos de Qualquer Natureza,2014-01-01,
receita_tot_056107,056107,IRRF - Rendimento do Trabalho Assalariado no País/Ausente no Exterior a Serviço do País,2014-01-01,
receita_tot_056108,056108,IRRF - Empregado Doméstico,2014-01-01,
receita_tot_056109,056109,IRRF - Empregado Doméstico - 13º Sal Rescisão,2014-01-01,
receita_tot_056110,056110,IRRF - Empregado doméstico - 13º salário,2014-01-01,
receita_tot_056111,056111,IRRF - Empregado/Trabalhador Rural - Segurado Especial,2014-01-01,
receita_tot_056112,056112,IRRF - Empregado/Trabalhador Rural - Segurado Especial 13° salário,2014-01-01,
receita_tot_056113,056113,IRRF - Empregado/Trabalhador Rural - Segurado Especial 13° salário rescisório,2014-01-01,
receita_tot_058806,058806,IRRF - Rendimento do trabalho sem vínculo empregatício,2014-01-01,
receita_tot_061001,061001,"IRRF - Rendimentos relativos a prestação de serviços de transporte rodoviário internacional de carga, pagos a transportador autônomo PF residente no Paraguai",2014-01-01,
receita_tot_108201,108201,Contribuição Previdenciária - CP descontada do segurado empregado/avulso,2014-01-01,
receita_tot_108202,108202,CP descontada do segurado empregado rural curto prazo - Lei 11.718/2008,2014-01-01,
receita_tot_108203,108203,CP descontada do segurado empregado doméstico,2014-01-01,
receita_tot_108204,108204,CP descontada do segurado especial curto prazo - Lei 11.718/2008,2014-01-01,
receita_tot_108205,108205,CP descontada do segurado empregado do segurado especial,2014-01-01,
receita_tot_108207,108207,CP descontada do segurado empregado do MEI,2014-01-01,
receita_tot_108221,108221,CP descontada do segurado empregado/avulso 13° salário,2014-01-01,
receita_tot_108222,108222,CP descontada do segurado empregado rural curto prazo 13° salário - Lei 11.718/2008,2014-01-01,
receita_tot_108223,108223,CP descontada do segurado empregado doméstico 13° salário,2014-01-01,
receita_tot_108224,108224,CP descontada do segurado especial curto prazo 13° salário - Lei 11.718/2008,2014-01-01,
receita_tot_108225,108225,CP descontada do segurado empregado do segurado especial 13° salário,2014-01-01,
receita_tot_109901,109901,"CP descontada do contribuinte individual, alíquota de 11%",2014-01-01,
receita_tot_109902,109902,"CP descontada do contribuinte individual, alíquota de 20%",2014-01-01,
receita_tot_121802,121802,"Contribuição ao SEST, descontada do transportador autônomo",2014-01-01,
receita_tot_122102,122102,"Contribuição ao SENAT, descontada do transportador autônomo",2014-01-01,
receita_tot_328006,328006,IRRF - Serviços Prestados por associados de cooperativas de trabalho,2014-01-01,
receita_tot_3533,3533,"Proventos de Aposentadoria, Reserva, Reforma ou Pensão Pagos por Previdência Pública",2014-01-01,
receita_tot_356201,356201,IRRF - Participação dos trabalhadores em Lucros ou Resultados (PLR),2014-01-01,
receita_tot_109921,109921,"CP descontada do contribuinte individual 13° salário, alíquota de 11%",2014-01-01,
receita_tot_109922,109922,"CP descontada do contribuinte individual 13° salário, alíquota de 20%",2014-01-01,
receita_tot_830102,830102,PIS/PASEP sobre a folha de salários,2014-01-01,
receita_tot_830122,830122,PIS/PASEP sobre a folha de salários - 13º salário,2014-01-01,
