id,codigo,nome,dt_inicio,dt_fim,nat_rubr,tp_rubr,cod_inc_cp,cod_inc_irrf,cod_inc_fgts,cod_inc_sind,rep_dsr,rep_13,rep_ferias,rep_resc,rep_afast,fator_rubr
rubr_pad_esocial1000,eSocial1000,Salário,2014-01-01,,1000,1,11,11,11,0,S,S,S,S,N,
rubr_pad_esocial1010,eSocial1010,Salário in natura - pagos em bens ou serviços,2014-01-01,,1010,1,11,11,11,0,N,S,S,S,S,
rubr_pad_esocial1020,eSocial1020,"Comissões, percentagens ou produção",2014-01-01,,1207,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1030,eSocial1030,Sobreaviso,2014-01-01,,1011,1,11,11,11,0,N,S,S,S,S,
rubr_pad_esocial1040,eSocial1040,Adiantamento de salário,2014-01-01,,5501,1,0,11,0,0,N,N,N,N,N,
rubr_pad_esocial1050,eSocial1050,Remuneração de faltas justificadas,2014-01-01,,1050,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1060,eSocial1060,Remuneração do dirigente sindical,2014-01-01,,1230,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1098,eSocial1098,Remuneração de autônomo,2014-01-01,,1000,1,11,11,0,0,N,N,N,N,N,
rubr_pad_esocial1099,eSocial1099,Remuneração mensal,2014-01-01,,1000,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1100,eSocial1100,Horas extras,2014-01-01,,1003,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1101,eSocial1101,Horas extras noturnas,2014-01-01,,1003,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1102,eSocial1102,Horas extras em dobro,2014-01-01,,1003,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1103,eSocial1103,Horas extras noturnas em dobro,2014-01-01,,1003,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1110,eSocial1110,Horas extras sobre comissões,2014-01-01,,1003,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1120,eSocial1120,Horas extras - Banco de Horas,2014-01-01,,1004,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1130,eSocial1130,Adicional noturno,2014-01-01,,1205,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1131,eSocial1131,Adicional noturno em dobro,2014-01-01,,1205,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1140,eSocial1140,"Intervalo para repouso e alimentação, quando não concedido integralmente",2014-01-01,2017-10-31,1006,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1140_19,eSocial1140,"Intervalo para repouso e alimentação, quando não concedido integralmente",2017-11-01,,1006,1,11,11,0,0,S,N,N,N,S,
rubr_pad_esocial1150,eSocial1150,"Intervalo entre duas jornadas de trabalho, quando não concedido integralmente",2014-01-01,2017-10-31,1006,1,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial1150_21,eSocial1150,"Intervalo entre duas jornadas de trabalho, quando não concedido integralmente",2017-11-01,,1006,1,11,11,0,0,S,N,N,N,S,
rubr_pad_esocial1200,eSocial1200,DSR - Descanso Semanal Remunerado,2014-01-01,,1002,1,11,11,11,0,N,S,S,S,S,
rubr_pad_esocial1210,eSocial1210,DSR - Descanso Semanal Remunerado - sobre Horas Extras,2014-01-01,,1002,1,11,11,11,0,N,S,S,S,S,
rubr_pad_esocial1211,eSocial1211,DSR - Descanso Semanal Remunerado - sobre Adicional Noturno,2014-01-01,,1002,1,11,11,11,0,N,S,S,S,S,
rubr_pad_esocial1212,eSocial1212,DSR - Descanso Semanal Remunerado - sobre Adicional de Viagem do empregado doméstico,2014-01-01,,1002,1,11,11,11,0,N,S,S,S,S,
