id,codigo,nome,dt_inicio,dt_fim,cod_rubrica_esocial,campo_fixo,restricao_nao_exibir
rubr_resc_50,50,Saldo de <<>>/dias Salário (líquido de <<>>/faltas e DSR),2014-01-01,,eSocial3000;eSocial5060;eSocial5070,S,
rubr_resc_51,51,Comissões,2014-01-01,,,S,
rubr_resc_52,52,Gratificação,2014-01-01,,eSocial1410,S,
rubr_resc_53,53,Adic. de Insalubridade <<>>%,2014-01-01,,eSocial1300,S,
rubr_resc_54,54,Adic. de Periculosidade <<>>%,2014-01-01,,eSocial1310,S,
rubr_resc_55_1,55.1,Adic. Noturno <<>> Horas a <<>>%,2014-01-01,,eSocial1130,S,
rubr_resc_55_2,55.2,Adic. Noturno em Dobro <<>> Horas a <<>>%,2014-01-01,,eSocial1131,N,
rubr_resc_56_1,56.1,Horas Extras <<>> Horas a <<>>%,2014-01-01,,eSocial1100,S,
rubr_resc_56_2,56.2,Horas Extras Noturnas <<>> Horas a <<>>%,2014-01-01,,eSocial1101,N,
rubr_resc_56_3,56.3,Horas Extras em Dobro <<>> Horas a <<>>%,2014-01-01,,eSocial1102,N,
rubr_resc_56_4,56.4,Horas Extras Noturnas em Dobro <<>> Horas a <<>>%,2014-01-01,,eSocial1103,N,
rubr_resc_56_5,56.5,Horas Extras Banco de Horas <<>> Horas a <<>>%,2014-01-01,,eSocial1120,N,
rubr_resc_57,57,Gorjetas,2014-01-01,,,S,
rubr_resc_58,58,Descanso Semanal Remunerado (DSR),2014-01-01,,eSocial1200,S,
rubr_resc_59,59,Reflexo do DSR sobre Salário Variável,2014-01-01,,,S,eSocial1210;eSocial1211;eSocial1212
rubr_resc_59_1,59.1,Reflexo do DSR sobre Salário Variável (Horas Extras),2014-01-01,,eSocial1210,N,
rubr_resc_59_2,59.2,Reflexo do DSR sobre Salário Variável (Adicional Noturno),2014-01-01,,eSocial1211,N,
rubr_resc_59_3,59.3,Reflexo do DSR sobre Salário Variável (Adicional de Viagem do Empregado Doméstico),2014-01-01,,eSocial1212,N,
rubr_resc_60,60,"Multa por atraso no pagamento da rescisão (art. 477, § 8º, da CLT)",2014-01-01,,eSocial3110,S,
rubr_resc_61,61,Indenização pela Extinção Antecipada do Contrato a Termo pelo Empregador,2014-01-01,,eSocial3100,N,
rubr_resc_62,62,Salário-Família,2014-01-01,2017-01-31,eSocial1720,S,
rubr_resc_62_22,62,Salário-Família,2017-02-01,,eSocial1720;eSocial1721,S,
rubr_resc_63,63,13º Salário Proporcional <<>>/12 avos,2014-01-01,,eSocial3020,S,
rubr_resc_64_1,64.1,13º Salário–Exerc. <<>> - <<>>/12 avos,2014-01-01,,eSocial1810,S,
rubr_resc_65,65,Férias Proporc <<>>/12 avos,2014-01-01,,eSocial3050,S,
rubr_resc_66,66,Férias Venc. Per. Aquisitivo DD/MM/AAAA  a DD/MM/AAAA,2014-01-01,,eSocial3060,S,
rubr_resc_67,67,Férias Vencidas (Reflexo/Dobra) Per. Aquisitivo AAAA a AAAA,2014-01-01,,eSocial3040,N,
rubr_resc_68,68,Terço Constituc. de Férias,2014-01-01,,eSocial3070,S,
rubr_resc_69,69,Aviso Prévio Indenizado <<>>/dias,2014-01-01,,eSocial3030,S,
rubr_resc_70,70,13º Salário (Aviso Prévio Indenizado),2014-01-01,,eSocial3010,S,
rubr_resc_71,71,Férias (Aviso Prévio Indenizado),2014-01-01,,eSocial3065,S,
rubr_resc_73,73,Prêmios,2014-01-01,,eSocial1430,N,
rubr_resc_79,79,Salário-Família Excedente,2014-01-01,,eSocial1730,N,
rubr_resc_89,89,Abonos Desvinculados do Salário,2014-01-01,,eSocial1620,N,
