id,codigo,nome,dt_inicio,dt_fim,id_tp_evento,tag_tp_evento,identificador
tipo_arq_s_1000,S-1000,Informações do Empregador/Contribuinte/Órgão Público,2014-01-01,,1,evtInfoEmpregador,CONTRIBUINTE
tipo_arq_s_1005,S-1005,"Tabela de Estabelecimentos, Obras ou Unidades de Órgãos Públicos",2014-01-01,,10,evtTabEstab,CONTRIBUINTE
tipo_arq_s_1010,S-1010,Tabela de Rubricas,2014-01-01,,11,evtTabRubrica,CONTRIBUINTE
tipo_arq_s_1020,S-1020,Tabela de Lotações Tributárias,2014-01-01,,12,evtTabLotacao,CONTRIBUINTE
tipo_arq_s_1030,S-1030,Tabela de Cargos/Empregos Públicos,2014-01-01,2022-03-09,13,evtTabCargo,CONTRIBUINTE
tipo_arq_s_1040,S-1040,Tabela de Funções/Cargos em Comissão,2014-01-01,2022-03-09,14,evtTabFuncao,CONTRIBUINTE
tipo_arq_s_1050,S-1050,Tabela de Horários/Turnos de Trabalho,2014-01-01,2022-03-09,15,evtTabHorTur,CONTRIBUINTE
tipo_arq_s_1070,S-1070,Tabela de Processos Administrativos/Judiciais,2014-01-01,,17,evtTabProcesso,CONTRIBUINTE
tipo_arq_s_1080,S-1080,Tabela de Operadores Portuários,2014-01-01,2022-03-09,18,evtTabOperPort,CONTRIBUINTE
tipo_arq_s_1200,S-1200,Remuneração de Trabalhador vinculado ao Regime Geral de Previd. Social,2014-01-01,,70,evtRemun,TRABALHADOR
tipo_arq_s_1202,S-1202,Remuneração de Servidor vinculado ao Regime Próprio de Previd. Social,2022-08-01,,78,evtRmnRPPS,INDEFINIDO
tipo_arq_s_1207,S-1207,Benefícios - Entes Públicos,2022-08-01,,72,evtBenPrRP,INDEFINIDO
tipo_arq_s_1210,S-1210,Pagamentos de Rendimentos do Trabalho,2014-01-01,,71,evtPgtos,INDEFINIDO
tipo_arq_s_1250,S-1250,Aquisição de Produção Rural,2014-01-01,2021-07-20,73,evtAqProd,INDEFINIDO
tipo_arq_s_1260,S-1260,Comercialização da Produção Rural Pessoa Física,2014-01-01,,74,evtComProd,INDEFINIDO
tipo_arq_s_1270,S-1270,Contratação de Trabalhadores Avulsos Não Portuários,2014-01-01,,75,evtContratAvNP,INDEFINIDO
tipo_arq_s_1280,S-1280,Informações Complementares aos Eventos Periódicos,2014-01-01,,76,evtInfoComplPer,INDEFINIDO
tipo_arq_s_1295,S-1295,Solicitação de Totalização para Pagamento em Contingência,2014-01-01,2022-03-09,77,evtTotConting,INDEFINIDO
tipo_arq_s_1298,S-1298,Reabertura dos Eventos Periódicos,2014-01-01,,79,evtReabreEvPer,INDEFINIDO
tipo_arq_s_1299,S-1299,Fechamento dos Eventos Periódicos,2014-01-01,,80,evtFechaEvPer,INDEFINIDO
tipo_arq_s_1300,S-1300,Contribuição Sindical Patronal,2014-01-01,2022-03-09,81,evtContrSindPatr,INDEFINIDO
tipo_arq_s_2100,S-2100,Cadastramento Inicial do Vínculo,2014-01-01,2018-01-07,40,evtCadInicial,VINCULO_TRABALHISTA
