id,codigo,nome,dt_inicio,dt_fim,grupo,desc_grupo,permite_alt_grupo
tipo_benef_0101,0101,"Aposentadoria por idade e tempo de contribuição - Proventos com integralidade, revisão pela paridade",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0102,0102,"Aposentadoria por idade e tempo de contribuição - Proventos pela média, reajuste manter valor real",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0103,0103,"Aposentadoria por idade - Proventos proporcionais calculado sobre integralidade, revisão pela paridade",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0104,0104,"Aposentadoria por idade - Proventos proporcionais calculado sobre a média, reajuste manter valor real",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0105,0105,"Aposentadoria compulsória - Proventos proporcionais calculado sobre integralidade, revisão pela paridade",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0106,0106,"Aposentadoria compulsória - Proventos proporcionais calculado sobre a média, reajuste manter valor real",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0107,0107,"Aposentadoria de professor - Proventos com integralidade, revisão pela paridade",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0108,0108,"Aposentadoria de professor - Proventos pela média, reajuste manter valor real",2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0109,0109,Aposentadoria de servidor vinculado a RPC - Proventos limitados ao teto do RGPS,2014-01-01,,01,Aposentadoria por Idade e Tempo de Contribuição,01;02;03
tipo_benef_0201,0201,Aposentadoria especial - Risco,2014-01-01,,02,Aposentadoria Especial,01;02;03
tipo_benef_0202,0202,Aposentadoria especial - Exposição a agentes nocivos,2014-01-01,,02,Aposentadoria Especial,01;02;03
tipo_benef_0203,0203,Aposentadoria da pessoa com deficiência,2014-01-01,,02,Aposentadoria Especial,01;02;03
tipo_benef_0204,0204,Aposentadoria especial do policial civil,2014-01-01,,02,Aposentadoria Especial,01;02;03
tipo_benef_0205,0205,Aposentadoria especial - Risco - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS,2014-01-01,,02,Aposentadoria Especial,01;02;03
tipo_benef_0206,0206,Aposentadoria especial - Exposição a agentes nocivos - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS,2014-01-01,,02,Aposentadoria Especial,01;02;03
