id,codigo,nome,dt_inicio,dt_fim
tipo_logr_a,A,Área,2014-01-01,
tipo_logr_ac,AC,Acesso,2014-01-01,
tipo_logr_aca,ACA,Acampamento,2014-01-01,
tipo_logr_acl,ACL,Acesso Local,2014-01-01,
tipo_logr_ad,AD,Adro,2014-01-01,
tipo_logr_ae,AE,Área Especial,2014-01-01,
tipo_logr_aer,AER,Aeroporto,2014-01-01,
tipo_logr_al,AL,Alameda,2014-01-01,
tipo_logr_ald,ALD,Aldeia,2014-01-01,
tipo_logr_amd,AMD,Avenida Marginal Direita,2014-01-01,
tipo_logr_ame,AME,Avenida Marginal Esquerda,2014-01-01,
tipo_logr_an,AN,Anel Viário,2014-01-01,
tipo_logr_ant,ANT,Antiga Estrada,2014-01-01,
tipo_logr_art,ART,Artéria,2014-01-01,
tipo_logr_at,AT,Alto,2014-01-01,
tipo_logr_atl,ATL,Atalho,2014-01-01,
tipo_logr_a_v,A V,Área Verde,2014-01-01,
tipo_logr_av,AV,Avenida,2014-01-01,
tipo_logr_avc,AVC,Avenida Contorno,2014-01-01,
tipo_logr_avm,AVM,Avenida Marginal,2014-01-01,
tipo_logr_avv,AVV,Avenida Velha,2014-01-01,
tipo_logr_bal,BAL,Balneário,2014-01-01,
tipo_logr_bc,BC,Beco,2014-01-01,
tipo_logr_bco,BCO,Buraco,2014-01-01,
tipo_logr_bel,BEL,Belvedere,2014-01-01,
tipo_logr_bl,BL,Bloco,2014-01-01,
tipo_logr_blo,BLO,Balão,2014-01-01,
tipo_logr_bls,BLS,Blocos,2014-01-01,
tipo_logr_blv,BLV,Bulevar,2014-01-01,
tipo_logr_bsq,BSQ,Bosque,2014-01-01,
tipo_logr_bvd,BVD,Boulevard,2014-01-01,
tipo_logr_bx,BX,Baixa,2014-01-01,
tipo_logr_c,C,Cais,2014-01-01,
tipo_logr_cal,CAL,Calçada,2014-01-01,
tipo_logr_cam,CAM,Caminho,2014-01-01,
tipo_logr_can,CAN,Canal,2014-01-01,
tipo_logr_ch,CH,Chácara,2014-01-01,
tipo_logr_cha,CHA,Chapadão,2014-01-01,
tipo_logr_cic,CIC,Ciclovia,2014-01-01,
tipo_logr_cir,CIR,Circular,2014-01-01,
tipo_logr_cj,CJ,Conjunto,2014-01-01,
tipo_logr_cjm,CJM,Conjunto Mutirão,2014-01-01,
tipo_logr_cmp,CMP,Complexo Viário,2014-01-01,
tipo_logr_col,COL,Colônia,2014-01-01,
tipo_logr_com,COM,Comunidade,2014-01-01,
tipo_logr_con,CON,Condomínio,2014-01-01,
tipo_logr_cond,COND,Condomínio,2014-01-01,
tipo_logr_cor,COR,Corredor,2014-01-01,
tipo_logr_cpo,CPO,Campo,2014-01-01,
tipo_logr_crg,CRG,Córrego,2014-01-01,
tipo_logr_ctn,CTN,Contorno,2014-01-01,
tipo_logr_dsc,DSC,Descida,2014-01-01,
tipo_logr_dsv,DSV,Desvio,2014-01-01,
tipo_logr_dt,DT,Distrito,2014-01-01,
tipo_logr_eb,EB,Entre Bloco,2014-01-01,
tipo_logr_eim,EIM,Estrada Intermunicipal,2014-01-01,
tipo_logr_ens,ENS,Enseada,2014-01-01,
tipo_logr_ent,ENT,Entrada Particular,2014-01-01,
tipo_logr_eq,EQ,Entre Quadra,2014-01-01,
tipo_logr_esc,ESC,Escada,2014-01-01,
tipo_logr_esd,ESD,Escadaria,2014-01-01,
tipo_logr_ese,ESE,Estrada Estadual,2014-01-01,
tipo_logr_esi,ESI,Estrada Vicinal,2014-01-01,
tipo_logr_esl,ESL,Estrada de Ligação,2014-01-01,
tipo_logr_esm,ESM,Estrada Municipal,2014-01-01,
tipo_logr_esp,ESP,Esplanada,2014-01-01,
tipo_logr_ess,ESS,Estrada de Servidão,2014-01-01,
tipo_logr_est,EST,Estrada,2014-01-01,
tipo_logr_esv,ESV,Estrada Velha,2014-01-01,
tipo_logr_eta,ETA,Estrada Antiga,2014-01-01,
tipo_logr_etc,ETC,Estação,2014-01-01,
tipo_logr_etd,ETD,Estádio,2014-01-01,
tipo_logr_etn,ETN,Estância,2014-01-01,
tipo_logr_etp,ETP,Estrada Particular,2014-01-01,
tipo_logr_ett,ETT,Estacionamento,2014-01-01,
tipo_logr_eva,EVA,Evangélica,2014-01-01,
tipo_logr_evd,EVD,Elevada,2014-01-01,
tipo_logr_ex,EX,Eixo Industrial,2014-01-01,
tipo_logr_fav,FAV,Favela,2014-01-01,
tipo_logr_faz,FAZ,Fazenda,2014-01-01,
tipo_logr_fer,FER,Ferrovia,2014-01-01,
tipo_logr_fnt,FNT,Fonte,2014-01-01,
tipo_logr_fra,FRA,Feira,2014-01-01,
tipo_logr_fte,FTE,Forte,2014-01-01,
tipo_logr_gal,GAL,Galeria,2014-01-01,
tipo_logr_gja,GJA,Granja,2014-01-01,
tipo_logr_hab,HAB,Núcleo Habitacional,2014-01-01,
tipo_logr_ia,IA,Ilha,2014-01-01,
tipo_logr_igp,IGP,Igarapé,2014-01-01,
tipo_logr_ind,IND,Indeterminado,2014-01-01,
tipo_logr_ioa,IOA,Ilhota,2014-01-01,
tipo_logr_jd,JD,Jardim,2014-01-01,
tipo_logr_jde,JDE,Jardinete,2014-01-01,
tipo_logr_ld,LD,Ladeira,2014-01-01,
tipo_logr_lga,LGA,Lagoa,2014-01-01,
tipo_logr_lgo,LGO,Lago,2014-01-01,
tipo_logr_lot,LOT,Loteamento,2014-01-01,
tipo_logr_lrg,LRG,Largo,2014-01-01,
tipo_logr_lt,LT,Lote,2014-01-01,
tipo_logr_mer,MER,Mercado,2014-01-01,
tipo_logr_mna,MNA,Marina,2014-01-01,
tipo_logr_mod,MOD,Modulo,2014-01-01,
tipo_logr_mrg,MRG,Projeção,2014-01-01,
tipo_logr_mro,MRO,Morro,2014-01-01,
