id,codigo,nome,dt_inicio,dt_fim
val_irrf_00,00,Rendimento não tributável,2014-01-01,
val_irrf_01,01,Rendimento não tributável em função de acordos internacionais de bitributação,2014-01-01,
val_irrf_09,09,Outras verbas não consideradas como base de cálculo ou rendimento,2014-01-01,
val_irrf_11,11,Rendimento tributável - Remuneração mensal,2014-01-01,
val_irrf_12,12,Rendimento tributável - 13º salário,2014-01-01,
val_irrf_13,13,Rendimento tributável - Férias,2014-01-01,
val_irrf_14,14,Rendimento tributável - PLR,2014-01-01,
val_irrf_15,15,Rendimento tributável - Rendimentos Recebidos Acumuladamente - RRA,2014-01-01,
val_irrf_31,31,Retenção - Remuneração mensal,2014-01-01,
val_irrf_32,32,Retenção - 13º salário,2014-01-01,
val_irrf_33,33,Retenção - Férias,2014-01-01,
val_irrf_34,34,Retenção - PLR,2014-01-01,
val_irrf_35,35,Retenção - RRA,2014-01-01,
val_irrf_41,41,Dedução da base de cálculo - Previdência Social Oficial - PSO - Remuneração mensal,2014-01-01,
val_irrf_42,42,Dedução da base de cálculo - PSO - 13º salário,2014-01-01,
val_irrf_43,43,Dedução da base de cálculo - PSO - Férias,2014-01-01,
val_irrf_44,44,Dedução da base de cálculo - PSO - RRA,2014-01-01,
val_irrf_46,46,Dedução da base de cálculo - Previdência privada - Salário mensal,2014-01-01,
val_irrf_47,47,Dedução da base de cálculo - Previdência privada - 13º salário,2014-01-01,
val_irrf_51,51,Dedução da base de cálculo - Pensão alimentícia - Remuneração mensal,2014-01-01,
val_irrf_52,52,Dedução da base de cálculo - Pensão alimentícia - 13º salário,2014-01-01,
val_irrf_53,53,Dedução da base de cálculo - Pensão alimentícia - Férias,2014-01-01,
val_irrf_54,54,Dedução da base de cálculo - Pensão alimentícia - PLR,2014-01-01,
val_irrf_55,55,Dedução da base de cálculo - Pensão alimentícia - RRA,2014-01-01,
val_irrf_61,61,Dedução da base de cálculo - Fundo de Aposentadoria Programada Individual - FAPI - Remuneração mensal,2014-01-01,
val_irrf_62,62,Dedução da base de cálculo - Fundo de Aposentadoria Programada Individual - FAPI - 13º salário,2014-01-01,
val_irrf_63,63,Dedução da base de cálculo - Fundação de previdência complementar do servidor público - Remuneração mensal,2014-01-01,
val_irrf_64,64,Dedução da base de cálculo - Fundação de previdência complementar do servidor público - 13º salário,2014-01-01,
