id,date_start,date_end,valor_min,valor_max,aliquota,parcela_deduzir
inss_001,2014-01-01,2014-12-31,0.0,1317.07,8.0,0.0
inss_002,2014-01-01,2014-12-31,1317.08,2195.12,9.0,0.0
inss_003,2014-01-01,2014-12-31,2195.13,4390.24,11.0,0.0
inss_004,2015-01-01,2015-12-31,0.0,1399.12,8.0,0.0
inss_005,2015-01-01,2015-12-31,1399.13,2331.88,9.0,0.0
inss_006,2015-01-01,2015-12-31,2331.89,4663.75,11.0,0.0
inss_007,2016-01-01,2016-12-31,0.0,1556.94,8.0,0.0
inss_008,2016-01-01,2016-12-31,1556.95,2594.92,9.0,0.0
inss_009,2016-01-01,2016-12-31,2594.93,5189.82,11.0,0.0
inss_010,2017-01-01,2017-12-31,0.0,1659.38,8.0,0.0
inss_011,2017-01-01,2017-12-31,1659.39,2765.66,9.0,0.0
inss_012,2017-01-01,2017-12-31,2765.67,5531.31,11.0,0.0
inss_013,2018-01-01,2018-12-31,0.0,1693.72,8.0,0.0
inss_014,2018-01-01,2018-12-31,1693.73,2822.9,9.0,0.0
inss_015,2018-01-01,2018-12-31,2822.91,5645.8,11.0,0.0
inss_016,2019-01-01,2019-12-31,0.0,1751.81,8.0,0.0
inss_017,2019-01-01,2019-12-31,1751.82,2919.72,9.0,0.0
inss_018,2019-01-01,2019-12-31,2919.73,5839.45,11.0,0.0
inss_019,2020-01-01,2020-02-29,0.0,1830.29,8.0,0.0
inss_020,2020-01-01,2020-02-29,1830.3,3050.52,9.0,0.0
inss_021,2020-01-01,2020-02-29,3050.53,6101.06,11.0,0.0
inss_022,2020-03-01,2020-12-31,0.0,1045.0,7.5,0.0
inss_023,2020-03-01,2020-12-31,1045.0,2089.6,9.0,15.68
inss_024,2020-03-01,2020-12-31,2089.6,3134.4,12.0,78.372
inss_025,2020-03-01,2020-12-31,3134.4,6101.06,14.0,141.066
inss_026,2021-01-01,2021-12-31,0.0,1100.0,7.5,0.0
inss_027,2021-01-01,2021-12-31,1100.0,2203.48,9.0,16.5
inss_028,2021-01-01,2021-12-31,2203.48,3305.22,12.0,82.6076
inss_029,2021-01-01,2021-12-31,3305.22,6433.57,14.0,148.7208
inss_030,2022-01-01,2022-12-31,0.0,1212.0,7.5,0.0
inss_031,2022-01-01,2022-12-31,1212.0,2427.35,9.0,18.18
inss_032,2022-01-01,2022-12-31,2427.35,3641.03,12.0,91.002
inss_033,2022-01-01,2022-12-31,3641.03,7087.22,14.0,163.8242
inss_034,2023-01-01,2023-04-30,0.0,1302.0,7.5,0.0
inss_035,2023-01-01,2023-04-30,1302.0,2571.29,9.0,19.53
inss_036,2023-01-01,2023-04-30,2571.29,3856.94,12.0,96.6748
inss_037,2023-01-01,2023-04-30,3856.94,7507.49,14.0,173.8216
inss_038,2023-05-01,2023-12-31,0.0,1320.0,7.5,0.0
inss_039,2023-05-01,2023-12-31,1320.0,2571.29,9.0,19.8
inss_040,2023-05-01,2023-12-31,2571.29,3856.94,12.0,96.9448
inss_041,2023-05-01,2023-12-31,3856.94,7507.49,14.0,174.0916
inss_042,2024-01-01,2024-12-31,0.0,1412.0,7.5,0.0
inss_043,2024-01-01,2024-12-31,1412.0,2666.68,9.0,21.18
inss_044,2024-01-01,2024-12-31,2666.68,4000.03,12.0,101.1816
inss_045,2024-01-01,2024-12-31,4000.03,7786.02,14.0,181.1842
inss_046,2025-01-01,2025-12-31,0.0,1518.0,7.5,0.0
inss_047,2025-01-01,2025-12-31,1518.0,2793.88,9.0,22.77
inss_048,2025-01-01,2025-12-31,2793.88,4190.83,12.0,106.5864
inss_049,2025-01-01,2025-12-31,4190.83,8157.41,14.0,190.403
inss_050,2026-01-01,,0.0,1621.0,7.5,0.0
inss_051,2026-01-01,,1621.0,2902.84,9.0,24.315
inss_052,2026-01-01,,2902.84,4354.27,12.0,111.4002
inss_053,2026-01-01,,4354.27,8475.55,14.0,198.4856
