id,date_start,date_end,base_min,base_max,aliquota,parcela_deduzir
irrf_001,2014-01-01,2015-03-31,0.0,1787.77,0.0,0.0
irrf_002,2014-01-01,2015-03-31,1787.77,2679.29,7.5,134.08
irrf_003,2014-01-01,2015-03-31,2679.3,3572.43,15.0,335.03
irrf_004,2014-01-01,2015-03-31,3572.44,4463.81,22.5,602.96
irrf_005,2014-01-01,2015-03-31,4463.82,9999999999.0,27.5,826.15
irrf_006,2015-04-01,2023-04-30,0.0,1903.98,0.0,0.0
irrf_007,2015-04-01,2023-04-30,1903.99,2826.65,7.5,142.8
irrf_008,2015-04-01,2023-04-30,2826.66,3751.05,15.0,354.8
irrf_009,2015-04-01,2023-04-30,3751.06,4664.68,22.5,636.13
irrf_010,2015-04-01,2023-04-30,4664.69,9999999999.0,27.5,869.36
irrf_011,2023-05-01,2024-01-31,0.0,2112.0,0.0,0.0
irrf_012,2023-05-01,2024-01-31,2112.01,2826.65,7.5,158.4
irrf_013,2023-05-01,2024-01-31,2826.66,3751.05,15.0,370.4
irrf_014,2023-05-01,2024-01-31,3751.06,4664.68,22.5,651.73
irrf_015,2023-05-01,2024-01-31,4664.69,9999999999.0,27.5,884.96
irrf_016,2024-02-01,2025-04-30,0.0,2259.2,0.0,0.0
irrf_017,2024-02-01,2025-04-30,2259.21,2826.65,7.5,169.44
irrf_018,2024-02-01,2025-04-30,2826.66,3751.05,15.0,381.44
irrf_019,2024-02-01,2025-04-30,3751.06,4664.68,22.5,662.77
irrf_020,2024-02-01,2025-04-30,4664.69,9999999999.0,27.5,896.0
irrf_021,2025-05-01,,0.0,2428.8,0.0,0.0
irrf_022,2025-05-01,,2428.81,2826.65,7.5,182.16
irrf_023,2025-05-01,,2826.66,3751.05,15.0,394.16
irrf_024,2025-05-01,,3751.06,4664.68,22.5,675.49
irrf_025,2025-05-01,,4664.69,9999999999.0,27.5,908.73
