id,date_start,date_end,base_max,valor
sf_001,2014-01-01,2014-12-31,682.5,35.0
sf_002,2014-01-01,2014-12-31,1025.81,24.66
sf_003,2015-01-01,2015-12-31,725.02,37.18
sf_004,2015-01-01,2015-12-31,1089.72,26.2
sf_005,2016-01-01,2016-12-31,806.8,41.37
sf_006,2016-01-01,2016-12-31,1212.64,29.16
sf_007,2017-01-01,2017-12-31,859.88,44.09
sf_008,2017-01-01,2017-12-31,1292.43,31.07
sf_009,2018-01-01,2018-12-31,877.67,45.0
sf_010,2018-01-01,2018-12-31,1319.18,31.71
sf_011,2019-01-01,2019-10-31,907.77,46.54
sf_012,2019-01-01,2019-10-31,1364.43,32.8
sf_013,2019-11-01,2019-12-31,1364.43,46.54
sf_014,2020-01-01,2020-12-31,1425.56,48.62
sf_015,2021-01-01,2021-12-31,1503.25,51.27
sf_016,2022-01-01,2022-12-31,1655.98,56.47
sf_017,2023-01-01,2023-12-31,1754.18,59.82
sf_018,2024-01-01,2024-12-31,1819.26,62.04
sf_019,2025-01-01,2025-12-31,1906.04,65.0
sf_020,2026-01-01,,1980.38,67.54
